Файл;H1;Title;Description
azotnaya-stanciya-modulnaya.html;Модульная азотная станция Atlas Copco;Модульная азотная станция Atlas Copco в контейнере под ключ;Азотная станция Atlas Copco в блок-контейнере: расчёт производительности, обогрев контура, датчики кислорода, резервирование компрессора. Пришлите параметры газа.
azotnaya-stanciya.html;Азотная станция Atlas Copco;Азотная станция на компрессоре Atlas Copco: чистота до 99,999%;Азотная станция на базе компрессора Atlas Copco: генератор PSA, чистота азота до 99,999%, расчёт под ваш расход и давление. Подбор оборудования и КП за час.
dizelnye-kompressory.html;Дизельные компрессоры Atlas Copco;Дизельные компрессоры Atlas Copco: автономно, без электросети;58 позиций дизельных компрессоров Atlas Copco мощностью 14,9-478 кВт, производительность 1,9-63,5 м³/мин, давление 7-35 бар. Автономная работа без сети или в резерв.
kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция Atlas Copco;Модульная кислородная станция Atlas Copco в контейнере под ключ;Кислородная станция Atlas Copco в блок-контейнере: компрессор до 500 кВт, чистота 93-95%, проект размещения, удалённый мониторинг. Расчёт по параметрам газа.
kislorodnaya-stanciya.html;Кислородная станция Atlas Copco;Кислородная станция Atlas Copco: чистота 93-95%, заправка баллонов;Кислородная станция на компрессоре Atlas Copco: генератор 20-1670 Нм³/ч, чистота 93-95%, дожим до 150 бар для заправки баллонов. Расчёт под расход, КП за час.
kompressornaya-stanciya.html;Компрессорная станция Atlas Copco под ключ;Компрессорная станция Atlas Copco под ключ: подбор, монтаж, сервис;Соберём компрессорную станцию Atlas Copco под непрерывное производство: подбор компрессора 2-500 кВт, ресивер, узел подготовки воздуха, резервирование линий.
kompressornye-stantsii.html;Компрессорные станции Atlas Copco;Компрессорная станция Atlas Copco под ключ: расчёт и КП за 1 час;Подберём компрессорную станцию Atlas Copco под фактический расход и давление: компрессор 2-500 кВт, ресивер, осушитель, резервирование. Расчёт и КП за час.
mks.html;Модульная компрессорная станция Atlas Copco;Модульная компрессорная станция Atlas Copco: МКС в контейнере под ключ;МКС Atlas Copco под ключ: компрессор 2-500 кВт, давление до 25 бар, утеплённый контейнер с вентиляцией и отоплением. Расчёт под вашу площадку, КП за час.
osushiteli.html;Осушители воздуха Atlas Copco;Осушители Atlas Copco: 174 позиции от 240 до 59520 л/мин;Осушители Atlas Copco под компрессоры 2-315 кВт, давление 7-20 бар. 19 моделей с частотным приводом, 27 станций со встроенным осушителем для экономии места.
porshnevye-kompressory.html;Поршневые компрессоры Atlas Copco;Поршневые компрессоры Atlas Copco: 16 из 17 - без масла;17 позиций поршневых компрессоров Atlas Copco мощностью 1,5-15 кВт, производительность 186-1860 л/мин при 10 бар. 9 моделей со встроенным осушителем, точка росы до +3°C.
spiralnye-kompressory.html;Спиральные компрессоры Atlas Copco;Спиральные компрессоры Atlas Copco для круглосуточной работы;35 позиций спиральных компрессоров Atlas Copco: 1,5-22 кВт, давление 8-10 бар, производительность 130-2440 л/мин. Прямой или ременный привод для непрерывной работы.
vintovye-kompressory.html;Винтовые компрессоры Atlas Copco;Винтовые компрессоры Atlas Copco: 681 позиция, до 25 бар;Винтовые компрессоры Atlas Copco мощностью 2-500 кВт, производительность 240-84600 л/мин, давление до 25 бар. 87 моделей с частотным приводом, есть безмасляные серии.
