Файл;H1;Title;Description
azotnaya-stanciya-modulnaya.html;Модульная азотная станция Kraftmann;Модульная азотная станция Kraftmann - контейнер, дожим до 200 бар;Азотная станция Kraftmann в блок-контейнере: компрессор, генератор Enger, дожим до 150-200 бар для заправки баллонов. Станция готова - подключите питание и азотопровод.
azotnaya-stanciya.html;Азотная станция Kraftmann;Азотная станция Kraftmann - компрессор 3-500 кВт и дожим давления;Азотная станция на компрессоре Kraftmann 3-500 кВт: генератор Enger 30-20000 л/мин, ресивер-накопитель, для высокого давления - дожимной компрессор в составе.
dozhimnye-kompressory.html;Дожимные компрессоры Kraftmann;Дожимные компрессоры Kraftmann - 48 моделей, давление до 40 бар;Дожимные компрессоры Kraftmann: 48 позиций мощностью 2,2-18,5 кВт повышают давление с 6-10 до 15-40 бар, производительность на входе 390-3240 л/мин, ременный привод.
filtry-magistralnye.html;Магистральные фильтры Kraftmann;Магистральные фильтры Kraftmann - 255 моделей до 50 бар;Магистральные фильтры Kraftmann для давления 16-50 бар: 255 позиций для дожимных ступеней, бустерных установок и каскадных схем, где фильтры на 10-13 бар не подходят.
kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция Kraftmann;Модульная кислородная станция Kraftmann - дожим до 300 бар;Кислородная станция Kraftmann в контейнере: компрессор, генератор Enger, системы безопасности. Опционально - дожимной компрессор для заправки баллонов до 200-300 бар.
kislorodnaya-stanciya.html;Кислородная станция Kraftmann;Кислородная станция Kraftmann - генератор Enger, дожим до 200 бар;Кислородная станция на компрессоре Kraftmann 3-500 кВт: генератор Enger, 12 моделей 20-1670 л/мин, ресивер. Заправка баллонов до 150-200 бар - дожимной компрессор.
kompressornaya-stanciya.html;Компрессорная станция Kraftmann;Компрессорная станция Kraftmann - 386 моделей, до 15 бар;Компрессорная станция Kraftmann для машинного зала: компрессор 3-500 кВт, давление 7-15 бар, производительность до 71150 л/мин, 386 позиций в каталоге, 26 безмасляных.
mks.html;Модульная компрессорная станция Kraftmann;Модульная компрессорная станция Kraftmann - контейнер, 15 бар;МКС Kraftmann в блок-контейнере заводской готовности: компрессор 3-500 кВт, давление до 15 бар, производительность до 71150 л/мин, вентиляция и отопление.
osushiteli.html;Осушители Kraftmann высокого давления;Осушители Kraftmann - 245 моделей, 0,04-38 кВт, до 252 бар;Осушители Kraftmann: 245 позиций мощностью 0,04-38 кВт для давления 8-16 бар, специальные исполнения - до 252 бар. Производительность 430-5780 л/мин для спецзадач.
tsiklonnye-separatory.html;Циклонные сепараторы Kraftmann;Циклонные сепараторы Kraftmann - 15 моделей, дожим до 40 бар;Циклонные сепараторы Kraftmann для бустерных станций и схем дожима до 40 бар: 15 позиций, потеря давления не более 0,2-0,3 бар, удаляют конденсат перед сжатием.
vintovye-kompressory.html;Винтовые компрессоры Kraftmann;Винтовые компрессоры Kraftmann - 386 моделей, дожим до 15 бар;Винтовые компрессоры Kraftmann: 386 позиций мощностью 3-500 кВт, давление 7-15 бар, производительность 240-71150 л/мин, 80 моделей с частотным приводом.
