inn;predpriyatie;tip;model;vid_fakta;chto_naydeno;ssylka
0274144861;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРАВТОДОР""";компрессор;;машина;Запрос цен для заключения договора поставки винтов ого компрессор а на шасси для обеспечения сжатым воздухом при работе буровой установки УРБ 2А-2Д для нужд УПП – филиал ОАО «Башкиравтодор»;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=31502076784
0560022871;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ПРОЕКТИРОВАНИЕ""";компрессор;;машина;Поставка стационарного компрессорного агрегата с комплектующими для буровой установки;https://etpgpb.ru/procedures/?search=508447
1001117500;АРБИТРАЖНЫЙ СУД РЕСПУБЛИКИ КАРЕЛИЯ;компрессор;;машина;Поставка с установкой основного компрессор а мультизональной системы кондиционирования GREE GMV-Pdm400W/NaB-M для наружного блока кондиционера системы кондиционирования воздуха в помещениях Арбитражного суда Республики К;https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0106100000623000043
1106013435;"ООО ""БУРСЕРВИС""";ПКС;;машина;нанимает в компрессорное хозяйство: Машинист передвижного компрессора 6 разряда. вакансий за 30 дней 12, города: Омск, Оренбург, Новосибирск, Южно-Сахалинск. кто это: подрядчик (буровые работы (ОКВЭД 70.22), передвижные ;https://hh.ru/vacancy/134821314
1117000011;"АО ""Боксит Тимана""";компрессор;;машина;"Конкурсный отбор поставщика компрессора на буровую установку Atlas-Copco/Epiroc DM-30II по заявке №1108 для АО ""Боксит Тимана"" (id1098563) (2-й этап торгов) (id1101907) машина";https://www.tender.pro/api/tender/1101907/view_public
1117000011;"АО ""Боксит Тимана""";компрессор;;машина;"Конкурсный отбор поставщика компрессора на буровую установку Atlas-Copco/Epiroc DM-30II по заявке №1108 для АО ""Боксит Тимана"" (id1098563) машина";https://www.tender.pro/api/tender/1098563/view_public
1117000011;"АО ""Боксит Тимана""";компрессор;;машина;"Конкурсный отбор поставщика компрессора на буровую установку Atlas-Copco/Epiroc DM-30II по заявке №1108 для АО ""Боксит Тимана"" (id1098563) (2-й этап торгов) (id1101907)";https://www.tender.pro/api/tender/1101907/view_public
1117000011;"АО ""Боксит Тимана""";компрессор;;машина;"Конкурсный отбор поставщика компрессора на буровую установку Atlas-Copco/Epiroc DM-30II по заявке №1108 для АО ""Боксит Тимана"" (id1098563) (2-й этап торгов) (id1101907)";https://www.tender.pro/api/tender/tp_1101907
1117000011;"АО ""Боксит Тимана""";компрессор;;машина;"Конкурсный отбор поставщика компрессора на буровую установку Atlas-Copco/Epiroc DM-30II по заявке №1108 для АО ""Боксит Тимана"" (id1098563)";https://www.tender.pro/api/tender/tp_1098563
1117000011;"АО ""Боксит Тимана""";компрессор;;машина;"Конкурсный отбор поставщика компрессора на буровую установку Atlas-Copco/Epiroc DM-30II по заявке №1108 для АО ""Боксит Тимана"" (id1098563) (2-й этап торгов) (id1101907) [источник: SVOD-tri-sostoyaniya.csv, колонка tekst,";https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=1101907#1117000011
1117000011;"АО ""Боксит Тимана""";компрессор;;машина;"Конкурсный отбор поставщика компрессора на буровую установку Atlas-Copco/Epiroc DM-30II по заявке №1108 для АО ""Боксит Тимана"" (id1098563) [источник: SVOD-tri-sostoyaniya.csv, колонка tekst, Tender.pro, тендер 1098563 ht";https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=1098563#1117000011
1400003086;"ООО ""ЯРК""";компрессор;;узел;Закупка радиатора маслянного компрессора для бурового станка Sandvik Leopard DI650i;https://etpgpb.ru/procedures/?search=ГП547461
1402046014;"Акционерное общество ""ЗОЛОТО СЕЛИГДАРА""";компрессор;;узел;"2607-Буровой станок Atlas Copco DML сменное оборудование/ АО «Золото Селигдара» 2658368086 радиатор компрессора арктический ;; Соответствует запросу “компрессор”";https://www.rts-tender.ru/poisk/id/l4531078-4-12-1/
1433000147;"АК ""АЛРОСА"" (ПАО)";компрессор;КВ10/10;расходник;3478 1433000147 покупает КВ 10/10 тип не установлен 30.01.2014 тендер 168114 Ремонт компрессорной установки КВ 10/10 буровой установки УРБ-2А2 https://www.tender.p;https://www.tender.pro/api/tender/168114/view_public
1434045743;"ООО ""Эльгауголь""";компрессор;;машина;Закупка компрессора винтового в сборе для буровой установки DM45-LP (Atlas Copco) машина;https://etpgpb.ru/procedure/tender/etp/131710-zakupka-kompressora-vintovogo-v-sbore-dlya-burovoy-ustanovki-dm45-lp-atlas-copco/
1434045743;"ООО ""Эльгауголь""";компрессор;;машина;Закупка компрессора винтового в сборе для буровой установки DM45-LP (Atlas Copco);https://etpgpb.ru/procedures/etp/131710-zakupka-kompressora-vintovogo-v-sbore-dlya-burovoy-ustanovki-dm45-lp-atlas-copco/
1434045743;"ООО ""Эльгауголь""";компрессор;;машина;Закупка компрессора винтового в сборе для буровой установки DM45-LP (Atlas Copco);https://etpgpb.ru/procedures/?search=ГП724880
1434045743;"ООО ""Эльгауголь""";компрессор;;машина;Закупка компрессора винтового в сборе для буровой установки DM45-LP (Atlas Copco);https://etpgpb.ru/procedures/?search=ГП724880
1434045743;"ООО ""Эльгауголь""";компрессор;;машина;Закупка компрессора винтового в сборе для буровой установки DM45-LP (Atlas Copco) [источник: etpgpb-loty-vse.csv, колонка predmet https://etpgpb.ru/procedures/etp/131710-zakupka-kompressora-vintovogo-v-sbore-dlya-burovoy;https://etpgpb.ru/procedures/?search=ГП724880#1434045743
1434045743;"ООО ""Эльгауголь""";компрессор;;машина;Закупка компрессора винтового в сборе для буровой установки DM45-LP (Atlas Copco) [источник: SVOD-tri-sostoyaniya.csv, колонка tekst, ЭТП ГПБ, поиск по словам, ЭТП ГПБ, процедура ГП724880 https://etpgpb.ru/procedure/tend;https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=131710#1434045743
1435152770;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛМАЗЫ АНАБАРА""";компрессор;;машина;Поставка установки буровой самоходной УРБ-2Д3 на шасси КАМАЗ-5350,с компрессором Atlas Copco;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=31806234375
1435182365;"Государственное унитарное горно-геологическое предприятие Республики Саха (Якутия) ""Якутскгеология""";компрессор;;машина;Поставка компрессор ных установок ЗИФ ПВ-10/1,0, перфораторов ПП36С2 и их комплектующих для производственных нужд ГУГГП РС(Я) «Якутскгеология»;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=31300724935
1516609782;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ВЛАДИКАВКАЗ";компрессор;;машина;Поставка перфораторов, компрессоров;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32211888948
1516609782;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ВЛАДИКАВКАЗ";компрессор;;машина;Поставка перфораторов, компрессоров;https://etpgpb.ru/procedures/?search=32211888948
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";МКС;;машина;В начале 2023 года для буровой ПАО Татнефть была спроектирована и запущена новая модульная компрессорная станция в теплоизолированном цельнометаллическом контейнере 12×3×3 м с маслонаполненным винтовым компрессором Dalga;https://prokazan.ru/important_rt/view/na-burovoj-pao-tatneft-zapustili-novuu-kompressornuu-stanciu
1834034714;"ООО ""БУРОВЫЕ СИСТЕМЫ""";ресивер;;машина;"Воздухосборник подроторного основания GB 150.1-4-2011 зав. № 20151022, Воздухосборник прицепной установки GB 150.1-4-2011, зав. №20151018; Воздухосборник прицепной установки GB 150.1-4-2011 зав. №20151019, принадлежащие ";https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-22209-2025
3329038170;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЛАДИМИРСКАЯ ОБЛАСТНАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""";компрессор;;машина;"Поставка основных средств для нужд ОАО «ВОЭК»: ЛОТ № 1: тепловизоров Flir E5, импульсного рефлектометра РИ-10М2, установки для высоковольтных испытаний ""СКАТ 70""; ЛОТ № 2: компрессора Remeza СБ 4/С-100 LB 30 с комплектую";https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=31705033397
3444070534;"ООО ""ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ""";компрессор;MМ55;машина;Компрессор MМ55 SS №1, заводской № 2321076, выпуска 2000 года, в составе оборудования бурового комплекса СПБУ «Бриз», до начала применения на опасном производственном объекте «Участок ведения буровых работ (в границах ли;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-04035-2025
3444070534;"ООО ""ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ""";компрессор;A219-237;машина;Компрессор A219-237 G1, заводской № 4256Х206, выпуска 1998 года, в составе оборудования бурового комплекса СПБУ «Бриз», до начала применения на опасном производственном объекте «Участок ведения буровых работ (в границах;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-22827-2025
3444070534;"ООО ""ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ""";компрессор;MМ55;машина;Компрессор MМ55 SS №2, заводской № 2321077, выпуска 2000 года, в составе оборудования бурового комплекса СПБУ «Бриз», до начала применения на опасном производственном объекте «Участок ведения буровых работ (в границах ли;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-23095-2025
