inn;person;position;phone;source;source_url
4714004270;Алекминский С.Г.;Директор;;"перенос из enrich.db (3-я сессия), пункт «вливаем данные»; исходный источник: zakupki:утверждаю";https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=0AE3CEF86EBEC657E06334548D0A5EE8
4714004270;Котенко Р.С.;заместитель директора;;"перенос из enrich.db (3-я сессия), пункт «вливаем данные»; исходный источник: zakupki:утверждаю";https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=09872F403F04BAE2E06334548D0AE302
9102256223;Венжега Андрей Васильевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;;"перенос из enrich.db (3-я сессия), пункт «вливаем данные»; исходный источник: ЕГРЮЛ/dadata";https://egrul.nalog.ru/index.html#!/search?query=9102256223
4205072099;Казанцев Игорь Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;;"перенос из enrich.db (3-я сессия), пункт «вливаем данные»; исходный источник: ЕГРЮЛ/dadata";https://egrul.nalog.ru/index.html?inn=4205072099
7704214548;Сидоров Алексей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;;"перенос из enrich.db (3-я сессия), пункт «вливаем данные»; исходный источник: ЕГРЮЛ/dadata";https://egrul.nalog.ru/index.html?inn=7704214548
7701791321;Нгуен Чи Зунг;заместитель председателя тендерного комитета;;"перенос из enrich.db (3-я сессия), пункт «вливаем данные»; исходный источник: закупочная комиссия";https://zakupki.gov.ru/223/filestore/public/1.0/download/fz223/file.html?uid=5D6717A5D65549CF9FEFD469FD31DBB6
7701791321;Попов И.В.;член тендерного комитета;;"перенос из enrich.db (3-я сессия), пункт «вливаем данные»; исходный источник: закупочная комиссия";https://zakupki.gov.ru/223/filestore/public/1.0/download/fz223/file.html?uid=5D6717A5D65549CF9FEFD469FD31DBB6
7701791321;Говор Д.Г.;член тендерного комитета;;"перенос из enrich.db (3-я сессия), пункт «вливаем данные»; исходный источник: закупочная комиссия";https://zakupki.gov.ru/223/filestore/public/1.0/download/fz223/file.html?uid=5D6717A5D65549CF9FEFD469FD31DBB6
7701791321;Ле Куанг Хоа;член тендерного комитета;;"перенос из enrich.db (3-я сессия), пункт «вливаем данные»; исходный источник: закупочная комиссия";https://zakupki.gov.ru/223/filestore/public/1.0/download/fz223/file.html?uid=5D6717A5D65549CF9FEFD469FD31DBB6
7701791321;Данг Хоай Нам;член тендерного комитета;;"перенос из enrich.db (3-я сессия), пункт «вливаем данные»; исходный источник: закупочная комиссия";https://zakupki.gov.ru/223/filestore/public/1.0/download/fz223/file.html?uid=5D6717A5D65549CF9FEFD469FD31DBB6
