zakazchik;inn;kpp;predmet;planiruemaya_data_razmeshcheniya;srok_ispolneniya_dogovora;summa;sposob_zakupki;okpd2;data_razmeshcheniya;plan_reg_nomer;nomer_pozicii;klyuch;centrobezhnyy_predmet;priznak_centrobezhnosti;data_v_budushchem;nash_spisok_202;istochnik;ssylka;predmet_bez_proekta;brak
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";7839395419;783901001;ЭЛЕКТРОНАСОС ЦЕНТРОБЕЖНЫЙ НЦВ 100/30АГ-2221, ТУ У28.1-38022963-002.2012 ПРОИЗВОДИТЕЛЬНОСТЬЮ 100 М3/Ч ПРИ НАПОРЕ 0.3 МПА., ЭЛЕКТРООБОРУДОВАНИЕ ПЕРЕМЕННОГО ТОКА 380 В. ЭЛЕКТРОДВИГАТЕЛЬ АСИНХРОННЫЙ МОЩН. 15КВТ СОГЛАСНО ПРОТОКОЛУ К ТУ, БЕЗ ПУСКАТЕЛЯ.;01.2015;09.2015;0,00 ₽;ЕП;;31.12.2014;2140098576;639;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=d24794cd-bec2-409b-95a7-9337c0ba518e_39aacf4f-cc73-4c9b-b38c-0677b7b978d4&infoGuid=d24794cd-bec2-409b-95a7-9337c0ba518e;ЭЛЕКТРОНАСОС ЦЕНТРОБЕЖНЫЙ НЦВ 100/30АГ-2221, ТУ У28.1-38022963-002.2012 ПРОИЗВОДИТЕЛЬНОСТЬЮ 100 М3/Ч ПРИ НАПОРЕ 0.3 МПА., ЭЛЕКТРООБОРУДОВАНИЕ ПЕРЕМЕННОГО ТОКА 380 В. ЭЛЕКТРОДВИГАТЕЛЬ АСИНХРОННЫЙ МОЩН. 15КВТ СОГЛАСНО ПРОТОКОЛУ К ТУ, БЕЗ ПУСКАТЕЛЯ.;центробежный насос, не компрессор
"Открытое акционерное общество ""Адмиралтейские верфи""";7839395419;783901001;ЭЛЕКТРОНАСОС ЦЕНТРОБЕЖНЫЙ НЦВ 100/30АГ-2221, ТУ У28.1-38022963-002.2012 ПРОИЗВОДИТЕЛЬНОСТЬЮ 100 М3/Ч ПРИ НАПОРЕ 0.3 МПА., ЭЛЕКТРООБОРУДОВАНИЕ ПЕРЕМЕННОГО ТОКА 380 В. ЭЛЕКТРОДВИГАТЕЛЬ АСИНХРОННЫЙ МОЩН. 15КВТ СОГЛАСНО ПРОТОКОЛУ К ТУ, БЕЗ ПУСКАТЕЛЯ.;01.2015;09.2015;0,00 ₽;ЕП;;31.12.2014;2140098576;639;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=4938e471-7ae3-4a49-aa57-780dc0737afc_6a0ee151-f230-40a0-a09b-0040d2193632&infoGuid=4938e471-7ae3-4a49-aa57-780dc0737afc;ЭЛЕКТРОНАСОС ЦЕНТРОБЕЖНЫЙ НЦВ 100/30АГ-2221, ТУ У28.1-38022963-002.2012 ПРОИЗВОДИТЕЛЬНОСТЬЮ 100 М3/Ч ПРИ НАПОРЕ 0.3 МПА., ЭЛЕКТРООБОРУДОВАНИЕ ПЕРЕМЕННОГО ТОКА 380 В. ЭЛЕКТРОДВИГАТЕЛЬ АСИНХРОННЫЙ МОЩН. 15КВТ СОГЛАСНО ПРОТОКОЛУ К ТУ, БЕЗ ПУСКАТЕЛЯ.;центробежный насос, не компрессор
"Открытое акционерное общество ""Адмиралтейские верфи""";7839395419;783901001;ЭЛЕКТРОНАСОС ЦЕНТРОБЕЖНЫЙ НЦВ 100/30АГ-2221, ТУ У28.1-38022963-002.2012 ПРОИЗВОДИТЕЛЬНОСТЬЮ 100 М3/Ч ПРИ НАПОРЕ 0.3 МПА., ЭЛЕКТРООБОРУДОВАНИЕ ПЕРЕМЕННОГО ТОКА 380 В. ЭЛЕКТРОДВИГАТЕЛЬ АСИНХРОННЫЙ МОЩН. 15КВТ СОГЛАСНО ПРОТОКОЛУ К ТУ, БЕЗ ПУСКАТЕЛЯ.;01.2015;09.2015;0,00 ₽;ЕП;;31.12.2014;2140098576;639;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=36930571-fbd3-4d08-84f2-0164b5b54694_039681b3-4db6-42d0-88f9-bbd8f95032df&infoGuid=36930571-fbd3-4d08-84f2-0164b5b54694;ЭЛЕКТРОНАСОС ЦЕНТРОБЕЖНЫЙ НЦВ 100/30АГ-2221, ТУ У28.1-38022963-002.2012 ПРОИЗВОДИТЕЛЬНОСТЬЮ 100 М3/Ч ПРИ НАПОРЕ 0.3 МПА., ЭЛЕКТРООБОРУДОВАНИЕ ПЕРЕМЕННОГО ТОКА 380 В. ЭЛЕКТРОДВИГАТЕЛЬ АСИНХРОННЫЙ МОЩН. 15КВТ СОГЛАСНО ПРОТОКОЛУ К ТУ, БЕЗ ПУСКАТЕЛЯ.;центробежный насос, не компрессор
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";7839395419;783901001;Электронасос центробежный производительностью 1 м/ч при напоре 10 м. вод. ст. Электрооборудование переменного тока 380 В. Электродвигатель АИР71А2ОМ2, без пускателя. Срок консервации 3 года.;03.2015;09.2015;0,00 ₽;ЕП;;31.12.2014;2140098576;844;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=d24794cd-bec2-409b-95a7-9337c0ba518e_7ecda1b6-0be1-4595-894d-54641ab337c4&infoGuid=d24794cd-bec2-409b-95a7-9337c0ba518e;Электронасос центробежный производительностью 1 м/ч при напоре 10 м. вод. ст. Электрооборудование переменного тока 380 В. Электродвигатель АИР71А2ОМ2, без пускателя. Срок консервации 3 года.;центробежный насос, не компрессор
"Открытое акционерное общество ""Адмиралтейские верфи""";7839395419;783901001;Электронасос центробежный производительностью 1 м/ч при напоре 10 м. вод. ст. Электрооборудование переменного тока 380 В. Электродвигатель АИР71А2ОМ2, без пускателя. Срок консервации 3 года.;03.2015;09.2015;0,00 ₽;ЕП;;31.12.2014;2140098576;844;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=4938e471-7ae3-4a49-aa57-780dc0737afc_50343e8f-fd42-4ba5-b519-b6bf76b155b0&infoGuid=4938e471-7ae3-4a49-aa57-780dc0737afc;Электронасос центробежный производительностью 1 м/ч при напоре 10 м. вод. ст. Электрооборудование переменного тока 380 В. Электродвигатель АИР71А2ОМ2, без пускателя. Срок консервации 3 года.;центробежный насос, не компрессор
"Открытое акционерное общество ""Адмиралтейские верфи""";7839395419;783901001;Электронасос центробежный производительностью 1 м/ч при напоре 10 м. вод. ст. Электрооборудование переменного тока 380 В. Электродвигатель АИР71А2ОМ2, без пускателя. Срок консервации 3 года.;03.2015;09.2015;0,00 ₽;ЕП;;31.12.2014;2140098576;844;центробежный;да;центробежн;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=36930571-fbd3-4d08-84f2-0164b5b54694_226d2a0c-d4d4-47b6-898d-2b09eb19c306&infoGuid=36930571-fbd3-4d08-84f2-0164b5b54694;Электронасос центробежный производительностью 1 м/ч при напоре 10 м. вод. ст. Электрооборудование переменного тока 380 В. Электродвигатель АИР71А2ОМ2, без пускателя. Срок консервации 3 года.;центробежный насос, не компрессор
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Расширение обустройства Саитовского нефтяного месторождения. Обустройство нагнетательной скважины №93ЧКМ;06.2015;12.2015;606 117,31 ₽;ЕП;;09.07.2015;2150112301;541;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-0203-0251-0000-559e7c3f0537_a9898519-0000-0250-0541-000000772129&infoGuid=a9898519-0203-0251-0000-559e7c3f0537;Государственная экспертиза проекта: Расширение обустройства Саитовского нефтяного месторождения. Обустройство нагнетательной скважины №93ЧКМ;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Расширение обустройства Саитовского нефтяного месторождения. Обустройство нагнетательной скважины №93ЧКМ;06.2015;12.2015;715 218,43 ₽;ЕП;;10.06.2015;2150112301;541;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-0203-0251-0000-55fbfac098ed_a9898519-0000-0250-0541-000000954657&infoGuid=a9898519-0203-0251-0000-55fbfac098ed;Государственная экспертиза проекта: Расширение обустройства Саитовского нефтяного месторождения. Обустройство нагнетательной скважины №93ЧКМ;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Расширение обустройства Саитовского нефтяного месторождения. Обустройство нагнетательной скважины №93ЧКМ;06.2015;12.2015;715 218,43 ₽;ЕП;;14.04.2015;2150112301;541;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-0203-0251-0000-56824f1b0b52_759d477d-526b-4b3f-b980-cf97c0ee1134&infoGuid=a9898519-0203-0251-0000-56824f1b0b52;Государственная экспертиза проекта: Расширение обустройства Саитовского нефтяного месторождения. Обустройство нагнетательной скважины №93ЧКМ;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ""";0274051582;027501001;Государственная экспертиза проекта: Расширение обустройства Кушнаренковского нефтяного месторождения. Обустройство водозаборной скважины №5032, обустройство нагнетательных скважин №№ 5038, 5051;07.2015;12.2015;619 241,90 ₽;ЕП;;10.06.2015;2150112301;1296;нагнетатель;да;нагнетател;нет;да;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=a9898519-0203-0251-0000-55fbfac098ed_a9898519-0000-0250-1296-000000955401&infoGuid=a9898519-0203-0251-0000-55fbfac098ed;Государственная экспертиза проекта: Расширение обустройства Кушнаренковского нефтяного месторождения. Обустройство водозаборной скважины №5032, обустройство нагнетательных скважин №№ 5038, 5051;
