stanciya;zakazchik_tip;inn;kpp;nomer_zakupki;predmet;summa;data_razmeshcheniya;okonchanie_podachi;klyuch;centrobezhnaya_mashina;tip_mashiny;kontakt_fio;kontakt_tel;kontakt_email;ssylka
ЛЕНИНГРАДСКАЯ АЭС-АВТО;дочернее общество;4714023385;;32515278356;Право заключения договора на поставка компрессора поршневого, осушителя сжатого воздуха, магистрального фильтра;608900,00₽;07.10.2025;;компрессор;нет;поршневой/винтовой;Логинова О.А.;;OkALoginova@rosatom.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32515278356
БАЛАКОВСКАЯ АЭС-АВТО;дочернее общество;6439071143;;32515259061;Право заключения договора на поставка воздушно винтового компрессора для авторемонтной службы, с установкой, подключением и пусконаладочными работами.;567533,20₽;30.09.2025;;компрессор;нет;поршневой/винтовой;Бестик Ю.В.;;bestikyuv@balnpp-auto.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32515259061
КАЛИНИНСКАЯ АЭС-СЕРВИС;дочернее общество;6916015990;;32514848344;Право заключения договора на поставка запасных частей и расходных материалов для обслуживания компрессоров;199766,83₽;19.05.2025;;компрессор;нет;;Марков Д.С.;84825554272;markov@kaesservice.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32514848344
КУРСКАЯ АЭС-СЕРВИС;дочернее общество;4634010454;;32414297698;Поставка, монтаж и пуско-наладка компрессора для комбината полуфабрикатов;395000,00₽;06.12.2024;;компрессор;нет;;Клесова Л.М.;84713123237;klesovalm@kaes-service.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32414297698
НОВОВОРОНЕЖСКАЯ АЭС-АВТО;дочернее общество;3651008478;;32414189643;Оказание услуг по ремонту турбокомпрессора двигателя автобуса МАН;372600,00₽;13.11.2024;;компрессор;нет;турбокомпрессор ДВС;Винокурова А.Н.;84736424041;vinokurova-an@nvavto.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32414189643
КУРСКАЯ АЭС-СЕРВИС;дочернее общество;4634010454;;32414056798;"Оказание услуг по ремонту компрессорных установок холодильных камер, расположенных в здании литера Б6 базы АХУ ООО ""Курская АЭС-Сервис""";216000,00₽;04.10.2024;;компрессор;нет;;;;pto@kaes-service.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32414056798
КУРСКАЯ АЭС-СЕРВИС;дочернее общество;4634010454;;32413970866;Выполнение работ по демонтажу, монтажу и пусконаладке холодильного поршневого компрессора на комбинате полуфабрикатов службы общественного питания;320000,00₽;09.09.2024;;компрессор;нет;поршневой/винтовой;;"84713121580;84713123237";kpf@kaes-service.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32413970866
КУРСКАЯ АЭС-СЕРВИС;дочернее общество;4634010454;;32413885707;Поставка компрессора холодильного поршневого для комбината полуфабрикатов;650000,00₽;09.08.2024;;компрессор;нет;поршневой/винтовой;;"84713147979;84713123237";atc@kaes-service.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32413885707
КУРСКАЯ АЭС-СЕРВИС;дочернее общество;4634010454;;32413202683;Поставка винтового компрессора для ремонтного участка автотранспортного цеха;1431000,00₽;23.01.2024;;компрессор;нет;поршневой/винтовой;;"84713147979;84713123237";atc@kaes-service.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32413202683
КУРСКАЯ АЭС-СЕРВИС;дочернее общество;4634010454;;32312997390;Право заключения договора на Поставка винтового компрессора для ремонта участка автотранспортного цеха;907600,00₽;23.11.2023;;компрессор;нет;поршневой/винтовой;;;;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312997390
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312165704;Право заключения договора на Поставка запасных частей к импортным компрессорам;1009872,00₽;03.03.2023;;компрессор;нет;;Дроздова О.А.;"87746119951;8639298772";drozdova-oa@vdnpp.rosenergoatom.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312165704
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312176751;Право заключения договора на Корректировка рабочей документации для модернизации системы получения воздуха среднего давления с заменой компрессорной установки КСД-2 в зд. 430А;27863672,00₽;09.03.2023;;компрессор,компрессорная;нет;;Бирюкова Н.Ю.;"87746119951;8136954319";cz-bnu@ln.rosenergoatom.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312176751
не определена (уровень концерна);АО «Концерн Росэнергоатом»;7721632827;;32312169362;Право заключения договора на Поставка запасных частей к винтовому компрессору;323865,82₽;06.03.2023;;компрессор;нет;поршневой/винтовой;Кушнарева Е.Ю.;"87746119951;8639298772";kushnareva-ey@vdnpp.rosenergoatom.ru;https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32312169362
