srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik;marka;sreda_po_marke;istochnik_sredy
active;центробежный компрессор;38-ТУ-68202-2025;15.08.2025;3801009466;"АО ""АНХК""";Центробежный компрессор марки К-500-61-1, поз. 5, зав. № 489;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-68202-2025;https://monitor-pb.ru/customer/3801009466;К-500-61-1;воздух;данные
active;центробежный компрессор;38-ТУ-68168-2025;27.10.2025;3801009466;"АО ""АНХК""";Центробежный компрессор марки К-1500-62-1, поз. 35/4, зав. № 2453;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-68168-2025;https://monitor-pb.ru/customer/3801009466;К-1500-62-1;воздух;данные
active;центробежный компрессор;43-ТУ-45861-2025;11.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Концевой охладитель центробежного компрессора ЦК135/8 (М1), поз.№ВО-26Б/3, зав.№90044;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45861-2025;https://monitor-pb.ru/customer/1658008723;ЦК135/8;воздух;данные
active;центробежный компрессор;63-ТУ-531685-2025;05.12.2025;6320004728;"АО ""ТОАЗ""";Центробежный компрессор типа К-1290-121-1, тех.№ 402, зав.№ 7814002, инв.№ 0053366;ТУ;5911057642;"ООО ""АПЭ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-531685-2025;https://monitor-pb.ru/customer/6320004728;К-1290-121-1;технологический газ;модель-переспрос
active;центробежный компрессор;38-ТУ-626612-2026;20.01.2026;3801046700;"АО ""АЗП""";Компрессор центробежный ЦК-135/8 М1 поз. В-2, зав. № 93012 (цех 167, объект 1996);ТУ;3801065799;"ООО ""ТЕХДИЭКС""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-626612-2026;https://monitor-pb.ru/customer/3801046700;ЦК-135/8 М1;воздух;данные
active;центробежный компрессор;43-ТУ-45877-2025;11.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Масляный фильтр II секции, поз.№ФМ-26В/2, зав.№90020 центробежного компрессора ЦК135/8 (М1);ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45877-2025;https://monitor-pb.ru/customer/1658008723;ЦК135/8;воздух;данные
active;центробежный компрессор;67-ТУ-55671-2025;11.07.2025;3801046700;"АО ""АЗП""";Компрессор центробежный ЦК-135/8 М1 поз. В-1, зав. № 86002 (цех 167, объект 1996);ТУ;3801065799;"ООО ""ТЕХДИЭКС""";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-55671-2025;https://monitor-pb.ru/customer/3801046700;ЦК-135/8 М1;воздух;данные
active;центробежный компрессор;38-ТУ-626669-2026;20.01.2026;3801046700;"АО ""АЗП""";Компрессор центробежный ЦК-135/8 поз. ТК-2Б, зав. № 66004 (цех 126/127, объект 1487/1488);ТУ;3801065799;"ООО ""ТЕХДИЭКС""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-626669-2026;https://monitor-pb.ru/customer/3801046700;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;41-ТУ-24130-2022;15.04.2022;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Центробежный компрессор типа RC8-6S+RB-6B, техн. № ТК-4, зав. № 900RC+910RC;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-24130-2022;https://monitor-pb.ru/customer/7202116628;RC8-6;природный газ;модель
active;центробежный компрессор;41-ТУ-56670-2019;04.12.2019;0274051582;"ПАО АНК ""БАШНЕФТЬ""";Центробежный компрессор К250-61-5, поз. К-3, зав. №30, установка ЦВК-4, Газокаталитическое производство;ТУ;7701027236;"ООО ""ИНТЕРЮНИС""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56670-2019;https://monitor-pb.ru/customer/0274051582;К250-61-5;воздух;модель
active;центробежный компрессор;38-ТУ-818645-2026;13.05.2026;3801009466;"АО ""АНХК""";Центробежный компрессор марки ЦК-135/8М1, поз. ВК-2, зав. № 88025, НПП, цех 11, установка 72/4;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-818645-2026;https://monitor-pb.ru/customer/3801009466;ЦК-135;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-14153-2024;18.06.2024;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";Центробежный компрессор К-1290-121-1 технологический № 402, заводской № 4937, применяемое Цех№ 11;ТУ;6312086734;"ООО ""ПЭБ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-14153-2024;https://monitor-pb.ru/customer/6320005915;К-1290-121-1;технологический газ;модель-переспрос
active;центробежный компрессор;53-ТУ-39247-2024;26.12.2024;7709930344;"ООО ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ""";Центробежный компрессор марки ЦК-135/8, техн. № 2, зав. № 76035;ТУ;6321439320;"ООО ""ИЦ ФОРТИС""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-39247-2024;https://monitor-pb.ru/customer/7709930344;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;53-ТУ-39249-2024;26.12.2024;7709930344;"ООО ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ""";Центробежный компрессор марки ЦК-135/8, техн. № 1, зав. № 78002;ТУ;6321439320;"ООО ""ИЦ ФОРТИС""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-39249-2024;https://monitor-pb.ru/customer/7709930344;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;11-ТУ-759309-2026;26.03.2026;1121003135;"АО ""СЛПК""";техническое устройство, применяемое на опасном производственном объекте: Компрессор центробежный К-250-61-5, зав.№ 515, ст. № 4;ТУ;7710283356;"ООО ""ИКЦ ""ПРОМТЕХБЕЗОПАСНОСТЬ""";соответствует;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-759309-2026;https://monitor-pb.ru/customer/1121003135;К-250-61-5;воздух;данные
active;центробежный компрессор;22-ТУ-29843-2023;27.12.2023;5321029508;"ПАО ""АКРОН""";Центробежный компрессор поз. GC-049, зав. № М-0029, производства нитроаммофоски, цех нитроаммофоски № 1;ТУ;7709122844;"ООО НПП ""МЕХАНИК""";соответствует;https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-29843-2023;https://monitor-pb.ru/customer/5321029508;GC-049;холодильный агент;модель-переспрос
