inn;predpriyatie;sostoyaniy;est;pokupaet;planiruet;region;est_sajt_u_nas;est_telefon_u_nas;est_tehchelovek_u_nas;chto_nuzhno
0277077282;"ООО ""БГК"" (ИНН 0277077282)";3;1;1;1;;;;1;"site;phones;emails;люди из вашей живой базы"
5003065767;"ООО ""ГАЗПРОМ ПХГ""";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
7701984274;"АО ""Мосводоканал""";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
6315376946;"ПАО ""Т ПЛЮС""";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
1434031363;"АО ""ДГК"" (ИНН 1434031363)";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
7606053324;"ПАО ""ТГК-2""";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
6829012680;"АО ""РИР ЭНЕРГО""";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";3;1;1;1;Москва;1;1;;"site;phones;emails;люди из вашей живой базы"
3808229774;"ООО ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
5406323202;"АО ""ТГК-11""";3;1;1;1;Омская;1;1;;"site;phones;emails;люди из вашей живой базы"
2725031842;"АО ""ХРМК""";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
6164288981;"ООО ""ЛУКОЙЛ-РОСТОВЭНЕРГО""";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
7712094033;"АО ""МАШ""";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
5190907139;"АО ""МЭС""";3;1;1;1;;;;;"site;phones;emails;люди из вашей живой базы"
2124009521;"ПАО ""ХИМПРОМ""";2;1;1;;Новочебоксарск;1;1;1;"site;phones;emails;люди из вашей живой базы"
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
6612005052;"АО ""РУСАЛ УРАЛ""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
3006006420;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
2624022320;"ООО ""СТАВРОЛЕН""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
6626002291;"ПАО ""СТЗ""";2;1;1;;;;;1;"site;phones;emails;люди из вашей живой базы"
2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
6451122250;"ООО ""САРАТОВОРГСИНТЕЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
1433000147;"АК ""АЛРОСА"" (ПАО)";2;1;1;;Саха (Якутия);1;1;;"site;phones;emails;люди из вашей живой базы"
6320004728;"АО ""ТОАЗ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
7116000066;"АО ""НАК ""АЗОТ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
2303025270;"ООО ""ЕВРОХИМ-БМУ""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
3802008553;"АО ""ВЫСОЧАЙШИЙ""";2;1;1;;Иркутская;1;1;;"site;phones;emails;люди из вашей живой базы"
5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";2;1;1;;;1;1;;"site;phones;emails;люди из вашей живой базы"
4223057424;"ООО ""ОФ ""Коксовая""";2;1;1;;;;;;"site;phones;emails;люди из вашей живой базы"
