inn;marka_zapisana;pochemu_eto_poziciya;tekst;chem_dokazano;ssylka;istochnik
0258005638;ВО 500;в цитате эта строка стоит после «поз.»/«техн. №»;Влагоотделитель поз. ВО 500, зав.№ б/н, рег.№ 367 (Площадка производства АО «ПОЛИЭФ», цех 11, корпус 705/1);заключение ЭПБ № 41-ТУ-22546-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-22546-2017;реестр заключений ЭПБ, monitor-pb.ru
0263009557;В-12;в цитате эта строка стоит после «поз.»/«техн. №»;Заключение экспертизы промышленной безопасности на техническое устройство «нагнетатель 400-12-2, Поз.В-12, зав.№ 633» цех АС, площадка производства АО «Мелеузовские минеральные удобрения»;заключение ЭПБ № 41-ТУ-20562-2023;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-20562-2023;реестр заключений ЭПБ, monitor-pb.ru
0263009557;В-12;в цитате эта строка стоит после «поз.»/«техн. №»;Нагнетатель 400-12-2 поз. В-12 уста-новка АС, цех № 9;заключение ЭПБ № 41-ТУ-28099-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-28099-2016;реестр заключений ЭПБ, monitor-pb.ru
0266002239;Р-106;в цитате эта строка стоит после «поз.»/«техн. №»;На сооружение РВС-700 на опасном производственном объекте «Группа резервуаров и сливо-наливных устройств» Рег. № А41-02347-0005 III класс опасности техн. № Р-106, зав. №б/н,, ООО «БИТУМ», г. Салават, эксплуатируемый в со;заключение ЭПБ № 41-ЗС-48914-2024;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-48914-2024;реестр заключений ЭПБ, monitor-pb.ru
0266002239;Р-101;в цитате эта строка стоит после «поз.»/«техн. №»;На сооружение РВС-700 на опасном производственном объекте «Группа резервуаров и сливо-наливных устройств» Рег. № А41-02347-0005 III класс опасности техн. № Р-101, зав. №б/н,, ООО «БИТУМ», г. Салават, эксплуатируемый в со;заключение ЭПБ № 41-ЗС-48918-2024;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-48918-2024;реестр заключений ЭПБ, monitor-pb.ru
0266002239;Р-106;в цитате эта строка стоит после «поз.»/«техн. №»;На сооружение РВС-700 на опасном производственном объекте «Группа резервуаров и сливо-наливных устройств» Рег. № А41-02347-0005 III класс опасности техн. № Р-106, зав. №б/н,, ООО «БИТУМ», г. Салават, эксплуатируемый в со;заключение ЭПБ № 41-ЗС-49207-2024;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-49207-2024;реестр заключений ЭПБ, monitor-pb.ru
0266008329;Н-102;в цитате эта строка стоит после «поз.»/«техн. №»;Насосный агрегат на базе центро-бежного насоса марки НК-200-120/120, поз. Н-102, зав. № 11, уст. ГО-3, ц.9, НПЗ;заключение ЭПБ № 41-ТУ-39566-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-39566-2015;реестр заключений ЭПБ, monitor-pb.ru
0266008329;Е-45;в цитате эта строка стоит после «поз.»/«техн. №»;Водоподогреватель, поз. Е-45, зав. №5, рег. №102, установка РЭС, цех № 47, завод «Мономер», ОАО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-43945-2014;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-43945-2014;реестр заключений ЭПБ, monitor-pb.ru
0266008329;Р-101;в цитате эта строка стоит после «поз.»/«техн. №»;Карбонилообразователь поз.Р-101, зав.№19191, рег.№65444, установка № 1, цех № 52, завод «Мономер», ОАО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-27142-2014;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-27142-2014;реестр заключений ЭПБ, monitor-pb.ru
0266008329;Т-102;в цитате эта строка стоит после «поз.»/«техн. №»;Теплообменник поз.Т-102, зав.№19592, рег.№65425, установка № 1, цех № 52, завод «Мономер», ОАО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-27154-2014;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-27154-2014;реестр заключений ЭПБ, monitor-pb.ru
0266008329;Т-402;в цитате эта строка стоит после «поз.»/«техн. №»;Теплообменник поз.Т-402, зав.№20183, рег.№65416, установка № 1, цех № 52, завод «Мономер», ОАО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-27158-2014;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-27158-2014;реестр заключений ЭПБ, monitor-pb.ru
0266008329;Т-401;в цитате эта строка стоит после «поз.»/«техн. №»;Теплообменник поз.Т-401, зав.№20182, рег.№65417, установка № 1, цех № 52, завод «Мономер», ОАО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-27164-2014;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-27164-2014;реестр заключений ЭПБ, monitor-pb.ru
0266008329;Е-12;в цитате эта строка стоит после «поз.»/«техн. №»;Емкость поз.Е-12, зав.№31338, рег.№66552, установка жидких газов ТСЦ, за-вод «Мономер», ОАО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-48579-2015;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-48579-2015;реестр заключений ЭПБ, monitor-pb.ru
0266033685;В6-6;в цитате эта строка стоит после «поз.»/«техн. №»;Сооружение «Фундамент центробежного нагнетателя поз. В6-6», цех БОС, инв. №40030055 ООО «ПромВодоКанал»;заключение ЭПБ № 49-ЗС-28150-2020;https://monitor-pb.ru/conclusion/49-%D0%97%D0%A1-28150-2020;реестр заключений ЭПБ, monitor-pb.ru
0266040210;В-610;в цитате эта строка стоит после «поз.»/«техн. №»;Документация на техническое перевооружение «Установка греющего элемента на воздухозаборнике воздуходувки поз. В-610», шифр 12711752-СГ256/9;заключение ЭПБ № 47-ТП-00473-2024;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%9F-00473-2024;реестр заключений ЭПБ, monitor-pb.ru
0266040210;В-141;в цитате эта строка стоит после «поз.»/«техн. №»;Документация на техническое перевооружение «Установка греющего элемента на воздухозаборнике воздуходувки поз. В-141», шифр 12711752-СГ256/8;заключение ЭПБ № 47-ТП-00475-2024;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%9F-00475-2024;реестр заключений ЭПБ, monitor-pb.ru
0266048970;АК-101;в цитате эта строка стоит после «поз.»/«техн. №»;«Техническое перевооружение. Монтаж дополнительной стойки с сепаратором и фильтрами грубой очистки на центробежном компрессоре поз. АК-101 установки ГО-4 цеха №11 НПЗ» (5766577-(2553)-Н593);заключение ЭПБ № 41-ТП-31938-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-31938-2017;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Т-319;в цитате эта строка стоит после «поз.»/«техн. №»;Заключение № 1-6475 экспертизы промышленной безопасности документации на техническое перевооружение опасного производственного объекта «Монтаж трубопровода метановой фракции от теплообменника поз. Т-319 цеха №58 на всас ;заключение ЭПБ № 2-ТП-550065-2025;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%9F-550065-2025;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Н-11;в цитате эта строка стоит после «поз.»/«техн. №»;Центробежный насос ВНГ-ц-Е-100-100-А поз.Н-11, зав.№ 186, ТСЦ НПЗ, площадка «В» резервуарный парк (об.712;заключение ЭПБ № 41-ТУ-12998-2017;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-12998-2017;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Н-11;в цитате эта строка стоит после «поз.»/«техн. №»;Заключение экспертизы промышленной безопасности на техническое устройство электронасос на базе центробежного насоса марки 1ЦГ-100/32К-11-1-У2, поз. Н-11, зав.№1571 (об.1521, ТУ№1, ТСЦ, завод «Мономер», ООО «Газпром нефте;заключение ЭПБ № 41-ТУ-17384-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-17384-2022;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Н-11;в цитате эта строка стоит после «поз.»/«техн. №»;Заключение экспертизы промышленной безопасности на техническое устройство насосный агрегат на базе центробежного насоса марки ВНГ-ц-Е-100-100-А-УХЛ2, поз. Н-11, зав.№186 (об.752, резервуарный парк, площадка «В», ТСЦ, НПЗ;заключение ЭПБ № 41-ТУ-52531-2024;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-52531-2024;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Н-360;в цитате эта строка стоит после «поз.»/«техн. №»;Заключение экспертизы промышленной безопасности на техническое устройство насосный агрегат на базе полупогружного центробежного насоса марки CTN-Сх 40-250, поз. Н-360.А, зав.№3-N45-581484 (об.1805, установка «Стирол», це;заключение ЭПБ № 41-ТУ-04911-2023;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-04911-2023;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Е-204;в цитате эта строка стоит после «поз.»/«техн. №»;емкость, поз. Е-204, зав. № 44185, рег. № 484, установка № 2, цех № 51, завод «Мономер», ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ТУ-58817-2022;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-58817-2022;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-46;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-46, площадка Б, ТСЦ, Нрезервуар, поз. Р-46, площадка Б, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. СалаватПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-19344-2020;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-19344-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-54;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-54, площадка Б, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-19342-2020;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-19342-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-74;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-74, площадка Г, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-36097-2020;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-36097-2020;реестр заключений ЭПБ, monitor-pb.ru
0266048970;Р-32;в цитате эта строка стоит после «поз.»/«техн. №»;резервуар, поз. Р-32, площадка В, ТСЦ, НПЗ, ООО «Газпром нефтехим Салават», г. Салават;заключение ЭПБ № 41-ЗС-36761-2021;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-36761-2021;реестр заключений ЭПБ, monitor-pb.ru
