uroven_doveriya;predpriyatie_podtverzhdeno;novoe_predpriyatie;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
подтверждено текстом;да;да;дожимная компрессорная станция;89-ТП-597779-2025;25.12.2025;8603010525;"АО ""НПИИЭК""";ЗАКЛЮЧЕНИЕ № 601/279-ЭД/25 экспертизы промышленной безопасности документации на техническое перевооружение опасного производственного объекта «Участок предварительной подготовки нефти совместно с площадкой дожимной насосной станции №2 Новогоднего месторождения» (рег. номер А59-60009-0565) АО «Газпромнефть-ННГ» «Техническое перевооружение ДНС-2 с УПСВ Новогоднего месторождения. МКУ мобильная компрессорная установка», шифр НМ-ДНС.ТП.24282;ТП;7813488933;"ООО ""ГК ""ТЭК""";соответствует;https://monitor-pb.ru/conclusion/89-%D0%A2%D0%9F-597779-2025;https://monitor-pb.ru/customer/8603010525
подтверждено текстом;да;да;дожимная компрессорная станция;02-ТП-08807-2022;10.08.2022;8903021599;"ООО ""НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ""";Заключение экспертизы промышленной безопасности документации на техническое перевооружение опасного производственного объекта «Дожимная компрессорная станция Юрхаровского месторождения» в составе: 1. Дожимная компрессорная станция Юрхаровского месторождения. II очередь строительства. Площадка компрессорных агрегатов №7 Компрессорное оборудование. 2. Дожимная компрессорная станция Юрхаровского месторождения. III очередь строительства. Площадка компрессорных агрегатов (поз.80) Компрессорное оборудование. 3. Дожимная компрессорная станция Юрхаровского месторождения. III очередь строительства. Площадка компрессорных агрегатов (поз.81) Компрессорное оборудование. 4. Дожимная компрессорная станция Юрхаровского месторождения. III очередь строительства. Площадка компрессорных агрегатов (поз.82) Компрессорное оборудование. 5. Дожимная компрессорная станция Юрхаровского месторождения. III очередь строительства. Площадка компрессорных агрегатов (поз.83) Компрессорное оборудование. 6. Дожимная компрессорная станция Юрхаровского месторождения. 4 этап строительства. Площадка компрессорных агрегатов (поз.84) Компрессорное оборудование». Шифр документации «152-10/21»;ТП;7723451304;"ООО ""ГК ""СИНЕРГИЯ""";соответствует;https://monitor-pb.ru/conclusion/02-%D0%A2%D0%9F-08807-2022;https://monitor-pb.ru/customer/8903021599
подтверждено текстом;да;да;дожимная компрессорная станция;59-ТУ-40136-2019;03.10.2019;8913006455;"ООО ""РН-ПУРНЕФТЕГАЗ""";техническое устройство: компрессорная установка 4ВУ1-5/9М2, зав. № 28117, эксплуатируемая на опасном производственном объекте «Площадка дожимной насосной станции ДНС-4 Барсуковского м/р» рег. № А59-60011-0652, ООО «РН-Пурнефтегаз»;ТУ;7720769385;"ООО ""ИНДУСТРИЯ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-40136-2019;https://monitor-pb.ru/customer/8913006455
подтверждено текстом;да;да;дожимная компрессорная станция;57-ТП-40459-2016;16.12.2016;8601032354;"ООО ""ЮЖНО-ПРИОБСКИЙ ГПЗ""";«Техническое перевооружение системы подачи буферного газа в СГУ (система сухих газодинамических уплотнений) на газотурбинных компрессорных агрегатах Solar Turbines Mars 100 (компрессорная станция, блок компрессорного агрегата № 3, инвентарный номер №000000414) и Solar Turbines Taurus 70 (дожимная компрессорная станция, инвентарный номер № 000000575)»;ТП;8606004424;"ООО ""ЮТАР""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%9F-40459-2016;https://monitor-pb.ru/customer/8601032354
подтверждено текстом;да;да;дожимная компрессорная станция;58-ТУ-44847-2022;01.11.2022;8609000160;"ПАО ""ННК-ВАРЬЕГАННЕФТЕГАЗ""";технические устройства - компрессорные установки, применяемые на опасном производственном объекте «Площадка дожимной насосной станции №2 Северо-Варьёганского месторождения» (рег. № ОПО А58-40069-0061, III класс опасности), ПАО «ННК-ВАРЬЁГАННЕФТЕГАЗ»;ТУ;8603005973;"ООО ""ГРЭЙ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-44847-2022;https://monitor-pb.ru/customer/8609000160
подтверждено текстом;да;да;дожимная компрессорная станция;58-ТУ-44846-2022;01.11.2022;8609000160;"ПАО ""ННК-ВАРЬЕГАННЕФТЕГАЗ""";техническое устройство - компрессорную установку ДЭН-11Ш, зав.№310, применяемое на опасном производственном объекте «Площадка дожимной насосной станции №3 Северо-Варьёганского месторождения» (рег. № ОПО А58-40069-0062, III класс опасности), ПАО «ННК-ВАРЬЁГАННЕФТЕГАЗ»;ТУ;8603005973;"ООО ""ГРЭЙ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-44846-2022;https://monitor-pb.ru/customer/8609000160
подтверждено текстом;да;да;дожимная компрессорная станция;58-ЗС-38652-2024;30.10.2024;8609000160;"ПАО ""ННК-ВАРЬЕГАННЕФТЕГАЗ""";"Заключение экспертизы промышленной безопасности № 6513-2024 на здание ""Блочная компрессорная установка ТАКАТ № 2"", инв. № 70342368, применяемое на опасном производственном объекте: ""Площадка дожимной насосной станции № 1 Бахиловского месторождения"", рег. № А58-40069-0013 Заказчик ПАО ""ННК-Варьеганнефтегаз""";ЗС;8603228225;"ООО ""НЦТО""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%97%D0%A1-38652-2024;https://monitor-pb.ru/customer/8609000160
подтверждено текстом;да;да;дожимная компрессорная станция;58-ЗС-38653-2024;30.10.2024;8609000160;"ПАО ""ННК-ВАРЬЕГАННЕФТЕГАЗ""";"Заключение экспертизы промышленной безопасности № 6512-2024 на здание ""Блочная компрессорная установка ТАКАТ № 1"", инв. № 70342369, применяемое на опасном производственном объекте: ""Площадка дожимной насосной станции № 1 Бахиловского месторождения"", рег. № А58-40069-0013 Заказчик ПАО ""ННК-Варьеганнефтегаз""";ЗС;8603228225;"ООО ""НЦТО""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%97%D0%A1-38653-2024;https://monitor-pb.ru/customer/8609000160
подтверждено текстом;да;да;дожимная компрессорная станция;54-ТП-00264-2024;11.01.2024;2607018122;"ПАО ""ОГК-2""";документацию на техническое перевооружение опасного производственного объекта «Техническое перевооружение опасного производственного объекта «Сеть газопотребления Серовской ГРЭС» с установкой дожимной компрессорной установки (российского производства) в дожимной компрессорной станции для нужд филиала ПАО «ОГК-2» – Серовская ГРЭС», шифр «41-03-00» (изм.1);ТП;7723451304;"ООО ""ГК ""СИНЕРГИЯ""";соответствует;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%9F-00264-2024;https://monitor-pb.ru/customer/2607018122
подтверждено текстом;да;да;дожимная компрессорная станция;54-ТП-16374-2019;13.11.2019;2607018122;"ПАО ""ОГК-2""";документацию на техническое перевооружение «Техническое перевооружение дожимной компрессорной станции (ДКС) с установкой резервной дожимной компрессорной установки, для нужд филиала ПАО «ОГК-2» - Серовской ГРЭС», шифр 41-18.25,;ТП;5010002630;"ООО ""НТЦ ""АНКЛАВ""";соответствует;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%9F-16374-2019;https://monitor-pb.ru/customer/2607018122
