fio;dolzhnost_doslovno;predpriyatie_v_istochnike;inn;nash_spisok;data_istochnika;tochnost_daty;ssylka;uroven_privyazki;telefon;kommentariy
Жалюк Роман;главный инженер Томскнефтехима;ООО «Томскнефтехим»;7017075536;воздушный топ №1;2022-10-19;видимая дата на странице;https://www.sibur.ru/TomskNeftehim/press-center/na-tomskneftekhime-vnedrili-ultrazvukovoy-pribor-dlya-obnaruzheniya-utechek/;L2 сайт холдинга, раздел площадки;;"сменил Максимова; на 2022 актуален"
Максимов Владимир;главный инженер предприятия (с 24 апреля врио генерального директора);ООО «Томскнефтехим»;7017075536;воздушный топ №1;2018-04-25;мета-тег публикации;https://vtomske.ru/news/153376-maksim-rogov-pokinul-post-direktora-tomskneftehima;L3 СМИ, полное название в тексте;;УСТАРЕЛО: роль занята Жалюком в 2022
Ахметшин Айрат;заместитель генерального директора – главный инженер;ООО «Газпром нефтехим Салават»;0266048970;воздушный топ №2;2019-10-04;мета-тег публикации;https://www.ufa.kp.ru/online/news/3628714/;L3 СМИ, полное название в тексте;;подтверждён вторым источником tnhi.ru без даты
Жулаев Сергей;главный инженер-технолог ООО «Газпром нефтехим Салават»;ООО «Газпром нефтехим Салават»;0266048970;воздушный топ №2;2025-11..2025-12;видимая (НЕНАДЁЖНО, боковой блок);https://companies.rbc.ru/news/Y3y4tuC7XT/nauka-razrabotala-tsifrovuyu-model-elou-avt-6-dlya-obekta-pao-gazprom/;L3 СМИ, полное название в тексте;;дату проверить: ИНН в подвале страницы — РБК, не завода
Свечников А.В.;главный механик ОАО «Газпром Нефтехим Салават»;ОАО «Газпром Нефтехим Салават»;0266008329;воздушный топ (историческое юрлицо);;дата не установлена;https://slv.rusoil.net/b/page/vydayushchiesya-vypuskniki;L4 список выпускников вуза;;без даты — год выпуска/должности не указан
Низамов Наиль;Главный инженер ООО «Газпром добыча Астрахань»;ООО «Газпром добыча Астрахань»;3006006420;воздушный топ;2017-10-11;видимая дата на странице;https://газпромпрофсоюз.рф/orgs/gazprom_dobycha_astrahany_profsoyuz/events/2717;L3 отраслевой портал, полное название;;подтверждён 2023-12 на своём сайте astrakhandobycha.gazprom.ru/press/news/2023/12/851/
Коренякин Андрей;главный механик Общества;ООО «Газпром добыча Астрахань»;3006006420;воздушный топ;2017-10-11;видимая дата на странице;https://газпромпрофсоюз.рф/orgs/gazprom_dobycha_astrahany_profsoyuz/events/2717;L3 отраслевой портал, полное название;;
Рылов Николай;главный инженер ГПУ (Газопромыслового управления);ООО «Газпром добыча Астрахань»;3006006420;воздушный топ;2017-10-11;видимая дата на странице;https://газпромпрофсоюз.рф/orgs/gazprom_dobycha_astrahany_profsoyuz/events/2717;L3 отраслевой портал, полное название;;роль уровня управления, не всего Общества
Афанасов Геннадий;главный механик – начальник МРС ГПУ;ООО «Газпром добыча Астрахань»;3006006420;воздушный топ;2017-10-11;видимая дата на странице;https://газпромпрофсоюз.рф/orgs/gazprom_dobycha_astrahany_profsoyuz/events/2717;L3 отраслевой портал, полное название;;
Екотов Андрей;начальник Газопромыслового управления;ООО «Газпром добыча Астрахань»;3006006420;воздушный топ;2017-10-11;видимая дата на странице;https://газпромпрофсоюз.рф/orgs/gazprom_dobycha_astrahany_profsoyuz/events/2717;L3 отраслевой портал, полное название;;ИСПРАВЛЕНО: автомат назвал его главным инженером, в тексте другая должность
