marka;vid;sereya;proizvoditel;sreda;uverennost;pochemu;predpriyatiy;upominaniy;goditsya_dlya_poiska;kto_razobral
1,2;позиционное обозначение установки;;;;;числовая позиция;33;200;;1-я сессия
Ц-4-70;вентилятор или дымосос;;;;;серия Ц4-70, центробежный вентилятор;17;96;;1-я сессия
Н-11;позиционное обозначение установки;;;;;позиционный номер (насос);16;44;;1-я сессия
100;позиционное обозначение установки;;;;;числовая позиция;15;34;;1-я сессия
С-100;позиционное обозначение установки;;;;;позиционный номер (сепаратор);15;82;;1-я сессия
1,2,3;позиционное обозначение установки;;;;;числовая позиция;14;33;;1-я сессия
220;позиционное обозначение установки;;;;;числовая позиция;13;57;;1-я сессия
ЦК-201;позиционное обозначение установки;;;;;позиционный номер (центробежный компрессор);13;33;;1-я сессия
СБ-4;поршневой;;;;;Remeza, серия поршневых компрессоров СБ4;12;29;;1-я сессия
300;позиционное обозначение установки;;;;;числовая позиция;11;102;;1-я сессия
GBR-357;воздуходувка Рутса или вихревая;;;;;Lutos, воздуходувка Рутса серии GBR;11;12;;1-я сессия
К-101;позиционное обозначение установки;;;;;позиционный номер (колонна/компрессор);11;36;;1-я сессия
К-201;позиционное обозначение установки;;;;;позиционный номер (колонна/компрессор);11;27;;1-я сессия
С-101;позиционное обозначение установки;;;;;позиционный номер (сепаратор);11;30;;1-я сессия
Т-1;позиционное обозначение установки;;;;;позиционный номер (теплообменник);11;38;;1-я сессия
1-2;позиционное обозначение установки;;;;;числовая позиция;10;29;;1-я сессия
1-3;позиционное обозначение установки;;;;;числовая позиция;10;24;;1-я сессия
8М1;поршневой;;;;;Сумское НПО / ККЗ, база поршневых компрессоров 8М;10;28;;1-я сессия
Е-10;позиционное обозначение установки;;;;;позиционный номер (емкость);10;15;;1-я сессия
Е-12;позиционное обозначение установки;;;;;;10;14;;1-я сессия
Е-205;позиционное обозначение установки;;;;;позиционный номер (емкость);10;15;;1-я сессия
Л-35;позиционное обозначение установки;;;;;обозначение технологической установки;10;290;;1-я сессия
Н-10;позиционное обозначение установки;;;;;позиционный номер (насос);10;24;;1-я сессия
Н-12;позиционное обозначение установки;;;;;позиционный номер (насос);10;19;;1-я сессия
Т-102;позиционное обозначение установки;;;;;позиционный номер (теплообменник);10;40;;1-я сессия
Т-4;позиционное обозначение установки;;;;;позиционный номер (теплообменник);10;27;;1-я сессия
1,6;позиционное обозначение установки;;;;;;9;28;;1-я сессия
200;позиционное обозначение установки;;;;;;9;17;;1-я сессия
PN-80;не компрессор (другое оборудование);;;;;;9;27;;1-я сессия
Е-101;позиционное обозначение установки;;;;;;9;19;;1-я сессия
Е-102;позиционное обозначение установки;;;;;;9;11;;1-я сессия
Е-11;позиционное обозначение установки;;;;;;9;24;;1-я сессия
Е-301;позиционное обозначение установки;;;;;;9;24;;1-я сессия
К-102;позиционное обозначение установки;;;;;;9;18;;1-я сессия
К-525;позиционное обозначение установки;;;;;;9;18;;1-я сессия
Л-35-11;позиционное обозначение установки;;;;;;9;369;;1-я сессия
Н-1,2;позиционное обозначение установки;;;;;;9;18;;1-я сессия
Н-13;позиционное обозначение установки;;;;;;9;16;;1-я сессия
Н-15;позиционное обозначение установки;;;;;;9;19;;1-я сессия
С-416М;поршневой;;;;;Бежецкий завод АСО, серия С;9;18;;1-я сессия
Т-5;позиционное обозначение установки;;;;;;9;28;;1-я сессия
Э-200-31-1;не компрессор (другое оборудование);;;;;;9;68;;1-я сессия
1-6;позиционное обозначение установки;;;;;;8;9;;1-я сессия
ВЦ-4-70;вентилятор или дымосос;;;;;серия ВЦ, вентилятор центробежный;8;10;;1-я сессия
ГТТ-3М;центробежный воздушный;;;;;Невский завод, газотурбинная воздуходувка;8;52;;1-я сессия
Е-1;позиционное обозначение установки;;;;;;8;41;;1-я сессия
К-10;позиционное обозначение установки;;;;;;8;20;;1-я сессия
КТК-12,5;центробежный газовый или технологический;;;;;Казанькомпрессормаш, турбохолодильный компрессор;8;150;;1-я сессия
