inn;predpriyatie;nomer;predmet;summa;data;ssylka;ploshchadka
2130230898;ТД Транспортное машиностроение;6162023;"Выполнение технического обслуживания камер видеонаблюдения в ЛЦ-2 ООО ""Промлит""";;03.08.2026;/purchase/6162023;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;6098466;Выполнение работ по оказанию услуг по стирке спецодежды;;08.06.2026;/purchase/6098466;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5500651;"Выполнение ремонта асфальтового покрытия на железнодорожном переезде подъездных путей АО ""Трансмаш""";;20.05.2025;/purchase/5500651;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5389804;Выполнение работ по ремонту кранового пути козловых кранов ЦПХМ в ООО «ПК «Промтрактор»;;20.03.2025;/purchase/5389804;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5343226;"Выполнение работ по ремонту фасада, остекления, отмостки здания склада огнеупоров АО ""ПО ""Бежицкая сталь""";;07.02.2025;/purchase/5343226;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5336467;"Выполнение работ по ремонту фасада, остекления, отмостки здания склада огнеупоров АО ""ПО ""Бежицкая сталь""";;07.02.2025;/purchase/5336467;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5336438;"Выполнение работ по ремонту кровли склада огнеупоров в АО ""ПО ""Бежицкая сталь""";;07.02.2025;/purchase/5336438;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5343234;"Выполнение работ по ремонту кровли склада огнеупоров в АО ""ПО ""Бежицкая сталь""";;07.02.2025;/purchase/5343234;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5336388;"Выполнение работ по очистке металлоконструкций от отходов литейного производства ЛЦ-2 в АО ""ПО ""Бежицкая сталь""";;07.02.2025;/purchase/5336388;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5319056;"Выполнение работ по монтажу автоматических установок пожаротушения и системы пожарной сигнализации в зданиях ООО ""ПК ""ЧАЗ""";;24.01.2025;/purchase/5319056;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5274494;"Выполнение работ по ремонту душевых в АБК ТОЦ АО ПО ""Бежицкая сталь""";;16.12.2024;/purchase/5274494;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5201878;"Реконструкция систем ливневой канализации в производственных корпусах ООО ""Промлит""";;08.11.2024;/purchase/5201878;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5160087;"Разработка и реализация дизайн-проекта помещения музея АО ""ПО ""Бежицкая сталь""";;14.10.2024;/purchase/5160087;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5157692;Выполнение ремонта туалетов на механическом участке МЦ-3 корпус 1 и АБК ИЦ;;11.10.2024;/purchase/5157692;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5157693;Выполнение ремонта санузлов на участке обработки тяжелых замков в МЦ-1 корпус 2 (бывший участок запчастей РМЦ);;11.10.2024;/purchase/5157693;Портал поставщиков Москвы
2130230898;ТД Транспортное машиностроение;5157691;Выполнение ремонта гардеробов, душевых и туалетов КПЦ;;11.10.2024;/purchase/5157691;Портал поставщиков Москвы
