inn;name;name_obzvon;division;segment;okved;okved_all;region;address;egrul_status;director;revenue_rub;revenue_h;priority_max;priority_total;equipment;site;activity;is_competitor;verified;best_email;contacts;contacts_n;phones;signals_n;hotness_max;news_event;news_what;news_url;stages;in_obzvon;in_sender;sent_n;sent_last;sajt_iz_obzvona;telefony_iz_obzvona;pochty_iz_obzvona;region_iz_obzvona;direktor_iz_obzvona;domen;otkuda_dobavleno;telefony_s_sajta;pochty_s_sajta;lyudi_s_sajta;sajt_proveren;sajt_obhoda;chuzhoy_sajt_kontakty;domen_dobrannyy;otkuda_domen;telefon_iz_whatsapp
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";"ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";kc;;37.00;37.00|35.30.14|36.00.2|46.74|46.77|79.90.21|86.21|86.90.4|36.00.1|41.20|42.11|42.21|42.99|46.43.3|46.46|46.49.31|46.73.6|46.76|47.61|47.63.1|47.63.2|47.73|47.74|47.75|49.3|49.4|49.41|49.41.1|49.41.2|49.41.3|58.11|59.11|62.01|62.02|71.12|71.20.1|79.90.2|85.41|85.42.9|86|90.01|93.29;Санкт-Петербург;191015, г. Санкт-Петербург, ул. Кавалергардская, д. 42;Действующая компания;;52100000000.0;52,1 млрд руб.;4;31;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;водоканал-спб.рф;водоснабжение и водоотведение в Санкт-Петербурге;0;inn;kolesnikova_vm@vodokanal.spb.ru;"office@vodokanal.spb.ru|общий| ; kolesnikova_vm@vodokanal.spb.ru|снабжение/закупки|Колесникова В. ; baranova_ln@vodokanal.spb.ru|снабжение/закупки|Баранова Л.";3;[];;;;;;activity,checko,email,etp,site,verify;1;;;;https://водоканал-спб.рф | https://med-vdk.ru | http://гупрэп-строитель.рф;+7 812 117-18-14 | +7 812 117-34-06 | +7 812 310-61-75 | +7 812 448-04-00 | +7 812 314-67-89 | +7 812 438-44-21 | +7 812 274-10-91 | +7 812 633-02-73 | +7 812 372-58-13 | +7 812 447-92-19 | +7 812 305-09-09 | +7 812 447-92-58 | +7 812 329-34-70 | +7 812 274-13-61 | +7 812 329-34-94 | +7 812 447-92-31 | +7 812 438-47-11 | +7 812 438-44-12 | +7 812 329-34-80 | +7 781 243-84-41 | +7 812 438-47-20 | +7 812 713-98-72 | +7 812 438-47-19 | +7 812 579-88-50 | +7 812 633-02-72 | +7 812 746-94-06 | +7 812 294-18-76 | +7 812 633-02-74 | +7 812 438-44-43 | +7 905 285-53-96 | +7 812 222-45-56 | +7 812 438-47-35 | +7 812 438-43-97 | +7 812 438-44-81 | +7 812 702-12-95 | +7 812 438-44-93 | +7 812 438-44-14 | +7 812 297-18-34 | +7 812 438-47-96 | +7 881 243-84-12 | +7 812 438-44-13 | +7 812 738-44-12 | +7 812 438-44-77 | +7 812 336-21-54 | +7 812 438-43-85 | +7 812 372-58-32 | +7 812 326-52-73;office@vodokanal.spb.ru | health_protect@gov.spb.ru | medcenter@vodokanal.spb.ru | secretar@kz.zdrav.spb.ru | uprav@78rospotrebnadzor.ru | info@vodokanal.ru | metrologcenter@vodokanal.spb.ru | kanc@vodokanal.spb.ru | officel@vodokanal.spb.ru | soluyanova_ms@vodokanal.spb.ru | office@pesc.ru | vodokanal@com.ru | voda@vodokanal.spb.ru | 111@111.ru | gu@vodokanal.spb.ru | smolenko_nv@vodokanal.spb.ru | poroshina_am2@vodokanal.spb.ru | press@vodokanal.spb.rг | erc@vodokanal.spb.ru | ffice@vodokanal.spb.ru | vds@vodokanal.spb.ru | gup@vodocanal.ru | office@vodokanal.ru | platforma18@inbox.ru | 122@fbcngmhm.ru | as@vodokana.spb.ru | tvs@uksz.ru | puganova_oa@vodokanal.spb.ru | billerc@vodokanal.spb.ru | ku2009@mail.ru | vodokanal@spb.ru | gvhf@mail.ru | ovcharenko_iv@vodokanal.spb.ru | vdo@vodokanal.spb.ru | motova_sv@vodokanal.spb.ru | crsep@vodokanal.spb.ru | korableva_ot@vodokanal.spb.ru | pak_mv@vodokanal.spb.ru | bagdueva_ea@vodokanal.spb.ru | podbor.personala@vodokanal.spb.ru | ryjih_as@vodokanal.spb.ru | polyakova_kv@vodokanal.spb.ru | medcenter@vodokanal.spb.ru;Санкт-Петербург;;med-vdk.ru;нового нет;+7 (812) 326-52-78 | +7 (812) 438-47-77 | +7 (812) 438-43-71;medcenter@vodokanal.spb.ru;;inn;med-vdk.ru;;;;
7705013033;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ПО ЭКСПЛУАТАЦИИ МОСКОВСКИХ ВОДООТВОДЯЩИХ СИСТЕМ ""МОСВОДОСТОК""";"ГУП ""МОСВОДОСТОК""";kc;;37.00;37.00|38.1|38.2|42.21|42.22.1|42.22.2|42.91.2|42.91.4|43.12.3|43.22|43.99.4|43.99.6|49.41.1|49.41.2|50.30|50.40|52.21.23|52.29|71.12;Москва;119017, г. Москва, ул. Новокузнецкая, д. 26/8, стр. 1;Действующая компания;;27600000000.0;27,6 млрд руб.;4;31;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;мосводосток.рф;эксплуатация и ремонт систем водоотведения и очистки поверхностных стоков Москвы;0;provider;tender@mosvodostok.net;"cancel@mosvodostok.net|приёмная| ; center@mosvodostok.net|общий| ; tender@mosvodostok.net|снабжение/закупки|Гамаюнов В.";3;"[""+74956578703"", ""+74956578738""]";;;;;;activity,checko,email,etp,phone,site,verify;1;;;;https://vk.com/mosvodostok;+7 495 923-29-01 | +7 495 954-41-42 | +7 495 657-87-36 | +7 495 953-29-01 | +7 495 657-87-02 | +7 926 703-47-15;secretar-cra@mosvodostok.ru | secretar-cra@mosvodostoc.net | abonent@mosvodostok.net | secretar@mosvodstok.info | secretar-cra@mosvodostok.info | tender@mosvodostok.info | cancel@mosvodostok.info | tender@mosvodostok.net | mvscancel@yandex.ru | cancel@mosvodostok.net | secretar@mosvodostok.info | sekret@mosvodostok.ru | sekretar@mosvodostok.ru | sekretar@mosvodostok.info | sercretar@mosvodostok.info | secretar@mosvodostok.ru | dir@vnukovo.ru | secretar-cra@mosvodostok.net | abonent@mosvodostok.info | podborpersonala@mosvodostok.info;Москва;;;нового нет;;;;;;;мосводосток.рф;кириллица;
6445029380;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРНОВСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""БЛАГОУСТРОЙСТВО""";"МУП ""БЛАГОУСТРОЙСТВО""";kc;;37.00;37.00|36.00|35.30.2|35.30.3|35.30.5|35.30.1|35.30.6|35.30.4;Саратовская область;413540, Саратовская область, м. р-н Краснопартизанский, г. п. Горновское, рп. Горный, ул. Чапаевская, д. 28;Действующая компания;;15000000000.0;15 млрд руб.;4;13;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — модульные или блочно-компрессорные станции;;;0;;;;;;;;;;;checko,etp;1;;;;;+7 927 118-14-19 | +7 937 636-39-54 | +7 927 118-14-94 | +7 988 504-67-39;blaqomup2024@mail.ru | blagomup2024@mail.ru;Саратовская область;;;выгрузка обзвона: телефон, почта;;;;;;;;;
1653006666;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА КАЗАНИ ""ВОДОКАНАЛ""";"МУП ""ВОДОКАНАЛ""";kc;новостные;37.00;37.00|36.00.1|43.29|35.12|36.00|41.20|42.21|42.22.1|42.22.2|42.91.5|42.99|43.12.3|43.22|43.32|43.33|43.34.1|43.34.2|43.99.3|43.99.7|49.41.1|49.41.2|49.50|71.20.1|81.29.9;Республика Татарстан;420087, Республика Татарстан, г. Казань, ул. Родины, д. 9;Действующая компания;Абдулхаков Рустам Рифгатович;8200000000.0;8,2 млрд руб.;5;55;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;kznvodokanal.ru;водоснабжение и водоотведение города Казани;0;provider;ks@kznvodokanal.ru;"2316104@kznvodokanal.ru|общий| ; ks@kznvodokanal.ru|снабжение/закупки|Галимов И.";2;"[""+7 (843) 231-62-60 (аварийно-диспетчерская служба)"", ""+7 (843) 231-62-62 (телефонная справочная)"", ""+7 (843) 231-69-06 (канцелярия)"", ""+7 (843) 231-62-75 (производственно-технический отдел)"", ""+7 (843) 231-61-33 (договорная группа юр.лица)"", ""+7 (843) 231-62-16 (ПТО технический надзор)"", ""+7 (843) 231-62-24 (ПТО техническая группа)"", ""+7 (843) 231-69-96 (горячая линия)""]";1;3;наём в компрессорную;МУП Водоканал: Слесарь-ремонтник (Эльмаш);https://hh.ru/search/vacancy?text=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C%20%D0%BF%D0%BE%20%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%D1%83%20%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F;best_email_v2,checko,crawl,email,etp,hh,phone,site,verify,zakupki;1;1;;;;+7 843 231-62-75 | +7 843 231-61-44 | +7 843 252-79-72 | +7 843 231-61-45 | +7 843 231-61-98 | +7 843 231-62-59 | +7 843 231-61-34 | +7 843 231-61-67 | +7 843 231-62-60 | +7 843 231-61-00 | +7 843 231-61-04 | +7 843 231-69-40 | +7 843 231-61-88 | +7 843 231-69-41 | +7 843 590-66-36 | +7 843 231-61-60 | +7 843 231-69-97 | +7 843 231-61-21 | +7 843 111-11-11 | +7 884 331-69-96 | +7 843 000-00-00 | +7 843 236-13-01 | +7 843 231-31-10 | +7 843 777-77-77 | +7 843 231-61-89 | +7 843 231-61-40 | +7 843 562-04-84 | +7 843 231-61-58 | +7 843 231-61-31 | +7 843 222-36-92 | +7 843 231-69-06 | +7 843 261-66-33 | +7 843 231-69-96 | +7 843 231-61-33 | +7 937 526-88-89 | +7 843 231-62-77;kznvodokanal@bk.ru | v-k@mail.ru | vildaevaen@kznvodokanal.ru | 11.kznvodokanal@mail.ru | doveriekznv@mail.ru | 111111111@mail.ru | support@kznvodokanal.ru | fashutdinovalr@kznvodokanal.ru | kznvodokanal@mail.ru | 2316104@kznvodokanal.ru | ivc@kznvodokanal.ru | gyryanovaos@kznvodokanal.ru | suharevana@kznvodokanal.ru | buhdoh@kznvodokanal.ru | dg@kznvodokanal.ru | vya@kznvodokanal.ru | ereminasa@vodokanal.ru | mup.vodokanal@mail.ru | vodokan@bancorp.ru | ks@kznvodokanal.ru | kznvodokonal@mail.ru | 22222222@yandex.ru | 7777777777@mail.ru | cypport@kznvodokanal.ru | sup@kznvodokanal.ru | sabirovanb@kznvodokanal.ru;Республика Татарстан;Абдулхаков Рустам Рифгатович;kznvodokanal.ru;нового нет;+7 (843) 231-62-60 | +7(843) 231-62-62 | +7(843) 231-61-10 | +7(843) 231-69-06 | +7(843) 231-69-07 | +7(843) 231-62-75 | +7(843) 231-62-89 | +7(843) 231-61-67 | +7 (843) 231-69-96 | +7(843) 231-62-77 ;2316104@kznvodokanal.ru;;provider;kznvodokanal.ru;;;;
2308111927;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАСНОДАР ВОДОКАНАЛ""";"ООО ""КРАСНОДАР ВОДОКАНАЛ""";kc;;37.00;37.00|36.00.1|36.00.2|96.09.9|35.12|35.13|35.30.1|35.30.2|35.30.3|42.21|42.22.1|42.22.2|46.74.2|55.90|63.99.1;Краснодар;350062, Краснодарский край, г. Краснодар, ул. им. Каляева, д. 198;Действующая компания;;7200000000.0;7,2 млрд руб.;4;29;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;rosvodokanal.ru;управление региональными предприятиями водоснабжения и водоотведения;0;phone;e.valiullina@rosvodokanal.ru;"info@rosvodokanal.ru|общий| ; pr@rosvodokanal.ru|продажи| ; etika@rosvodokanal.ru|общий| ; krn_sec@rosvodokanal.ru|приёмная| ; webhelp@rosvodokanal.ru|общий| ; e.valiullina@rosvodokanal.ru|снабжение/закупки|Валиуллина Э. ; km.kulikova@rosvodokanal.ru|снабжение/закупки|Куликова К.";7;"[""+7 (495) 514-02-11"", ""8-800-250-17-47"", ""+7 (800) 200-36-46""]";;;;;;activity,best_email_v2,checko,email,etp,phone,site,verify;1;;;;https://rosvodokanal.ru;+7 800 200-36-46 | +7 861 217-03-33 | +7 800 992-30-06 | +7 861 226-94-36 | +7 861 541-78-96 | +7 861 922-30-06 | +7 992 300-67-05 | +7 861 999-06-03 | +7 861 226-60-33 | +7 861 271-46-08 | +7 861 226-42-81 | +7 612 992-30-06 | +7 861 992-90-03 | +7 861 992-30-05 | +7 800 700-06-00 | +7 861 992-30-06 | +7 918 521-45-74 | +7 800 992-30-36;krn_sec@rosvodokanal.ru | vod-krd@mail.ru | krdvodokanal@mail.ru | noreply@rvkmail.ru | ak.borisenko@rosvodokanal.ru | k.stratulat@rosvodokanal.ru | s.yurash@rosvodokanal.ru | water@mail.ru | krasnodarvodokanal@mail.ru | ulpokaz@rosvodokanal.ru | ulporaz@rosvodokanal.ru | 88619923006@mail.ru | kr@mail.ru | dsp1@miackuban.ru | rosvodo@mail.ru | krasnodarvodokanal@yandex.ru | m.kuzmin@rosvodokanal.ru | km_sec@rosvodokanal.ru | aa.borisenko@rosvodokanal.ru | secretar@krasnodarvodokanal.ru | tem_voda@mail.ru | iss@rosvodokanal.ru | krasnodar@gfs.ru | sekretar@krasnodarvodokanal.ru | v.kuzmina@rosvodokanal.ru | 51564685@mail.ru | ooovodokanal@mail.ru | _______@_____.ru | kvk_fo@rosvodokanal.ru | 9923006@mail.ru | g.stepanova@krasnodarvodokanal.ru | iergnj@mail.ru | office@trashcomp.com;Краснодарский край;;rosvodokanal.ru;нового нет;;;;mismatch;rosvodokanal.ru;+7 (495) 514-02-11 | +7 (495) 926-89-25 | 8-800-250-17-47 | 8 800 6000 958 | +7 (8182) 61-00-00 | +7 (3852) 500-101 | +7 (473) 206-77-06 | (4217) 59-06-83 | +7 ;;;
5902817382;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАЯ ГОРОДСКАЯ ИНФРАСТРУКТУРА ПРИКАМЬЯ""";"ООО ""НОВОГОР-ПРИКАМЬЕ""";kc;;37.00;37.00|35.30.14|36.00.1|36.00.2|46.90|47.99|33.11|33.14|33.20|35.30.1|35.30.3|35.30.4|35.30.5|41.20|42.21|42.22.2|43.12|43.12.1|43.12.3|43.22|68.20|71.12|71.12.1;Пермь;614065, Пермский край, г. Пермь, ул. Свиязева, д. 35;Действующая компания;;7100000000.0;7,1 млрд руб.;4;29;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;управление тепловыми сетями и котельными;0;mismatch;lobanov.e.p@novogor.perm.ru;"lobanov.e.p@novogor.perm.ru|снабжение/закупки|Лобанов Е. ; kolegova_na@novogor.perm.ru|снабжение/закупки|Колегова Н. ; hudyakova@novogor.perm.ru|снабжение/закупки|Худякова О.";3;"[""+7 (8142) 71-00-71"", ""+7 (8142) 71-00-52"", ""+7 (8142) 71-00-83"", ""+7 (911) 050-16-22""]";;;;;;activity,best_email_v2,checko,etp,phone;1;;;;https://pks-teplovyeseti.ru | http://permsrub.ru | http://novogor.perm.ru;+7 814 271-00-52 | +7 814 271-00-71 | +7 342 201-71-21 | +7 342 210-03-20 | +7 342 810-06-20 | +7 342 210-06-20 | +7 342 210-06-00 | +7 912 480-54-11;pts-secretary@rks.karelia.ru | kazantseva_va@novogor.perm.ru | abon@novogor.perm.ru | info@njvogor.perm.ru | info@novogor.perm.ru | ehlakova_ae@novogor.perm.ru | novogor@mail.ru | abon@поvogor.perm.ru | palyanova@novogor.perm.ru | kormina_oa@novogor.perm.ru;Пермский край;;pks-teplovyeseti.ru;выгрузка обзвона: сайт;;;;mismatch;pks-teplovyeseti.ru;+7 (8142) 71-00-71 | +7 (8142) 71-00-52 | 8 (8142) 71-00-83 | +7 (911) 050-16-22 | (8142) 71-00-83;;;
7726671234;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РВК-ВОРОНЕЖ""";"ООО ""РВК-ВОРОНЕЖ""";kc;;37.00;37.00|36.00.1|46.73.3|96.09.9|08.99|35.12|35.13|35.30.1|35.30.2|35.30.3|36.00.2|38.12|38.22|41.10|41.20|42.11|42.21|42.22.1|42.22.2|42.91|42.99|43.12|43.12.3|43.13|43.21|43.22|43.29|43.99.4|43.99.5|43.99.7|43.99.9|46.74.2|46.90|69|70.22|71.12|71.12.1|71.12.11|71.12.3|74.20|74.30|80.20|82.92|85.30|85.41.9|86.90.9|94.11;Воронеж;394038, Воронежская область, г. Воронеж, ул. Пеше-Стрелецкая, д. 90;Действующая компания;;6800000000.0;6,8 млрд руб.;4;45;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;voronezh.rosvodokanal.ru;водоснабжение и водоотведение города Воронеж;0;inn;i.razvorotneva@rosvodokanal.ru;"mail_vrn@rosvodokanal.ru|общий| ; etika@rosvodokanal.ru|общий| ; iv.sergeeva@rosvodokanal.ru|общий| ; i.razvorotneva@rosvodokanal.ru|снабжение/закупки|Разворотнева И. ; ed.babenko@rosvodokanal.ru|снабжение/закупки|Бабенко Е.";5;"[""8 (473) 206-77-06"", ""8-800-250-17-47"", ""+7(473) 206-77-07""]";;;;;;activity,best_email_v2,checko,email,etp,phone,site,verify;1;;;;https://voronezh.rosvodokanal.ru;+7 473 206-77-06 | +7 473 206-77-07;mail_vrn@rosodokanal.ru | m.sidorova@rosvodokanal.ru | mail_vrn@rosvodokanal.ru | o.nikolaenko@rosvodokanal.ru | tender.vrn@rosvodokanal.ru;Воронежская область;;voronezh.rosvodokanal.ru;нового нет;+7 (473) 206-77-06 | +7 (473) 206-77-07 | +7 (473) 206-77-07 доб. 1218 | +7 (473) 206-77-07 доб. 1468 | +7 (473) 206-77-06 доб. 1478 | 8-800-250-17-47;mail_vrn@rosvodokanal.ru | iv.sergeeva@rosvodokanal.ru | etika@rosvodokanal.ru;;inn;voronezh.rosvodokanal.ru;;;;
5504097128;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОМСКВОДОКАНАЛ""";"АО ""ОМСКВОДОКАНАЛ""";kc;;37.00;37.00|36.00.2|46.90|49.41.3|33.12|35.11|35.13|35.14|35.2|35.30|36.00|41.2|43.12|43.2|43.3|49.10|49.20|49.3|52.10.2|69|72.19|80.10|80.20|80.30|84.22;;644042, Омская область, г. Омск, ул. Маяковского, д. 2;Действующая компания;;6300000000.0;6,3 млрд руб.;5;34;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;;i.orlova@rosvodokanal.ru|снабжение/закупки|Орлова И.;1;;;;;;;checko,etp;1;;;;http://omsk.rosvodokanal.ru | http://omskvodokanal.ru | https://vk.com/rosvodokanalomsk;+7 381 276-66-79 | +7 381 253-00-31 | +7 381 253-00-10 | +7 800 381-77-77 | +7 838 125-30-01 | +7 530 011-10-46 | +7 381 253-00-01 | +7 381 264-51-17 | +7 381 253-00-11 | +7 913 974-79-61 | +7 381 252-00-11 | +7 381 253-08-79 | +7 381 231-46-41 | +7 962 054-39-45 | +7 950 955-32-62 | +7 381 275-04-00 | +7 381 231-77-21 | +7 381 253-00-00 | +7 381 222-65-32 | +73812530011 | +78002501747;llihacheva@rosvodokanal.ru | a.lizarkin@rosvodokanal.ru | info@omesc.ru | info@rosvodokanal.ru | d.popov@rosvodokanal.ru | office_omsk@rosvodokanal.ru | info_omsk@rosvodokanal.ru | i.bosenko@omskvodokanal.ru | omsk@rosvodokanal.ru | s.ivanova@rosvodokanal.ru | office@omskvodokanal.ru | ofis_omsk@rosvodokanal.ru | as.petrova@rosvodokanal.ru | service_omsk@rosvodokanal.ru | info@omskvodokanal.ru | office_omsk@rosvodokanal.ru. | m.gorodnicheva@rosvodokanal.ru | no-reply@omskvodokanal.ru | vi.shevchenko@rosvodokanal.ru | v.ishenko@rosvodokanal.ru | ao_omvod@mail.ru | omskvoda@mail.ru | service_omsk@rosvjdokanal.ru | a.lagackaya@rosvodokanal.ru | ghost6900@bk.ru | info_gu@rosvodokanal.ru | omskvodokanal@mail.ru | etika@rosvodokanal.ru | hotline@interrao.ru | office_omsk@rosvodokanal.ru | webhelp@rosvodokanal.ru;Омская область;;omsk.rosvodokanal.ru;выгрузка обзвона: сайт, телефон, почта, регион;8 (3812) 53-00-11 | 8 (3812) 31-46-41 | 8 (3812) 53-00-11 доб. 1309 | 8 (3812) 53-00-11 доб. 1320 | 8 (3812) 53-00-11 доб. 1022 | 8 (3812) 53-00-11 доб. 1027 | 8 (3812) 53-00-11 доб. 1028 | 8 (3812) 5;office_omsk@rosvodokanal.ru | opna_omsk@rosvodokanal.ru | service_omsk@rosvodokanal.ru | m.stepanova@rosvodokanal.ru | etika@rosvodokanal.ru;;inn;omsk.rosvodokanal.ru;;;;
2426004706;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПУЛЬС""";"ООО ""ИМПУЛЬС""";;;36.00 Забор, очистка и распределение воды;36.00|10.61.2|10.71.1|16.10.1|16.23.1|35.30.14|35.30.2|35.30.3|35.30.4|35.30.5|36.00.1|36.00.2|37.00|38.1|38.2|41.20|42.21|42.22.2|43.22|43.29|43.32|43.99|47.52.5|49.41.2|81.29.9;Красноярский край;663415, Красноярский край, Мотыгинский район, гп. Раздолинск, ул. Лесопильная, д. 32А;Действующая компания;Лазаренко Виталий Николаевич;5100000000.0;5,1 млрд руб.;4;47;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Рентген-детекторы и рентген-инспекционные системы | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;ukimpuls.ru;Управляющая компания ЖКХ (управление и обслуживание многоквартирных домов, ОКВЭД 68.32);0;mismatch;;;;"[""8-495-801-79-99"", ""8-495-801-79-79"", ""8-967-208-16-97"", ""8-977-618-87-06""]";;;;;;activity,phone,site;1;;;;;+7 904 893-32-83 | +7 391 412-21-44 | +7 950 435-30-51;mot-mbk@yandex.ru | lazarvit@mail.ru;Красноярский край;Лазаренко Виталий Николаевич;ukimpuls.ru;выгрузка обзвона: почта;;;;mismatch;ukimpuls.ru;8-495-801-79-99 | 8-495-801-79-79 | 8-967-208-16-97 | 8-967-208-16 | 8-977-618-87-06;;;
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";"МУП ""КОС""";kc;;37.00;37.00|35.12.1|35.12.2|35.30.2|36.00.2|64.19|68.20.29|68.32.1|35.11|35.12|35.13|35.14|35.30.3|35.30.5|36.00.1|38.11|38.12|41.20|42.21|42.22.2|43.22|43.29|43.32|43.34.1|43.99|49.39.1|49.39.3|49.39.39|49.41|49.50|52.21|64.11|68.20.2|68.32|71.12|71.12.45|71.12.6|71.20|71.20.1|95.11;;663302, Красноярский край, г. о. город Норильск, г. Норильск, ул. Нансена, д. 18А;Действующая компания;Борисевич Евгений Николаевич;3300000000.0;3,3 млрд руб.;5;57;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;+lev1909@rambler.ru;"+lev1909@rambler.ru|снабжение/закупки|Левченко А. ; lev1909@rambler.ru|снабжение/закупки|Левченко А.";2;;;;;;;best_email_v2,checko,etp;1;;;;http://mupkosnorilsk.ru;+7 391 924-48-42 | +7 391 922-48-42 | +7 391 934-02-40 | +7 391 928-48-82 | +7 391 934-01-04 | +7 913 526-76-93 | +7 391 946-47-45 | +7 391 922-48-22 | +7 391 934-17-12 | +7 391 946-92-23 | +7 391 651-64-58 | +7 391 922-45-42 | +7 391 934-39-87;oprot@mupkosnorilsk.ru | mail@mupnorilsk.ru | orpot@mupkosnorilsk.ru | orpot@mupkosnoriksk.ru | nikiforovaav@mupkosnorilsk.ru | urist@mupkosnorilsk.ru | mail@mupkosnorilsk.ru | orpot@mupkosnorilck.ru | energosbyt@oao-ntek.ru | orpot@mupckosnorilsk.ru | energo@oao-ntek.ru | orpot@mupkosnoriisk.ru | mypcos@mail.ru;Красноярский край;Борисевич Евгений Николаевич;mupkosnorilsk.ru;выгрузка обзвона: сайт, телефон, регион;;;;;mupkosnorilsk.ru;;;;
