inn;predpriyatie;zapros;vsego_naydeno;nomer;data;nazvanie;zayavitel;izobretateli;zayavitel_nash
0277014204;"ПАО ""УФАОРГСИНТЕЗ""";УФАОРГСИНТЕЗ компрессор;1;RU2078053C1;1997-04-27; Method of treatment of sulfurous-alkaline sewage from sulfides;"Акционерное общество ""Уфаоргсинтез""";М.В. Кочинашвили;да
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";ТОМСКНЕФТЕХИМ компрессор;5;RU2629678C1;2017-08-31; Способ получения битумно-полимерного вяжущего;"Бюджетное учреждение высшего образования Ханты-Мансийского автономного округа - &hellip;";Александра Викторовна Нехорошева;нет
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";ТОМСКНЕФТЕХИМ компрессор;5;RU2535483C2;2014-12-10;" Установка полимеризации пропилена и сополимеризации пропилена с этиленом и &hellip;";"Общество с ограниченной ответственностью ""Томскнефтехим"" (ООО ""Томскнефтехим"")";Андрей Рудольфович Ионов;да
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";ТОМСКНЕФТЕХИМ компрессор;5;RU64619U1;2007-07-10; INSTALLATION FOR PRODUCING HIGH PRESSURE POLYETHYLENE;"Общество с ограниченной ответственностью ""Томскнефтехим"" (ООО ""Томскнефтехим"")";Руслан Владимирович Петренко;да
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";ТОМСКНЕФТЕХИМ компрессор;5;RU2310665C1;2007-11-20;" Ethylene polymerization and copolymerization catalyst, method of preparing &hellip;";"Общество с ограниченной ответственностью ""Томскнефтехим"" (ООО ""Томскнефтехим"")";В чеслав Кириллович Дудченко (RU);да
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";ТОМСКНЕФТЕХИМ компрессор;5;RU2301812C1;2007-06-27;" Окисленный атактический полипропилен с полярными функциональными группами, &hellip;";Виктор Петрович Нехорошев;Виктор Петрович Нехорошев (RU);нет
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";ГАЗПРОМ НЕФТЕХИМ САЛАВАТ компрессор;1;RU112194U1;2012-01-10; PYROLYSIS INSTALLATION;"Открытое акционерное общество ""Газпром нефтехим Салават""";Сергей Иванович Мячин;да
3801046700;"АО ""АЗП""";АЗП компрессор;138;CA2865194C;2018-01-09; Method and system for condition monitoring of a group of plants;Nuovo Pignone Srl;Mohamed Ali;нет
3801046700;"АО ""АЗП""";АЗП компрессор;138;US10293565B1;2019-05-21; Systems and methods for mass customization;Bao Tran;Bao Tran;нет
3801046700;"АО ""АЗП""";АЗП компрессор;138;US10299722B1;2019-05-28; Systems and methods for mass customization;Bao Tran;Bao Tran;нет
