Запрос;Паттерн;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
безмасляный воздушный компрессор купить;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача при наличии безмасляных компрессоров в ассортименте;
купить поршневой компрессор;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача по базовой категории товаров;
винтовые безмасляные компрессоры купить;paste_from_serp;empty_but_should;0;webmaster;0;нет результатов по безмасляным;
безмасляный компрессор купить;paste_from_serp;empty_but_should;0;webmaster;0;нет результатов по профильному запросу;
безмасляные компрессоры купить;paste_from_serp;empty_but_should;0;webmaster;0;нет результатов по профильному запросу;
безмасляный винтовой компрессор купить;paste_from_serp;empty_but_should;0;webmaster;0;нет безмасляных или не индексированы;
компрессор воздушный дизельный передвижной купить цена;paste_from_serp;empty_but_should;0;webmaster;0;Пустая выдача при наличии товара;
компрессор поршневой воздушный купить;paste_from_serp;empty_but_should;0;webmaster;0;нет результатов по поршневым;
компрессор промышленный купить;paste_from_serp;empty_but_should;0;webmaster;0;пусто по общему запросу;
компрессор дизельный передвижной цена;paste_from_serp;empty_but_should;0;webmaster;0;пусто, хотя дизельные есть;
купить промышленный винтовой компрессор;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача по базовому запросу;
винтовой компрессор для пескоструя купить;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача по валидному запросу;
центробежные компрессоры цена;paste_from_serp;empty_but_should;0;webmaster;0;нет центробежных в ассортименте;
компрессор поршневой купить;paste_from_serp;empty_but_should;0;webmaster;0;нет выдачи по базовой категории;
купить промышленный компрессор;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача на ключевой запрос;
купить безмасляный компрессор;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача по востребованному типу;
осушитель сжатого воздуха для компрессора купить;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача, хотя осушители есть в каталоге;
купить осушитель сжатого воздуха;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача при наличии осушителей;
купить воздушный компрессор винтовой промышленный;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача по базовому запросу;
поршневой компрессор купить;paste_from_serp;empty_but_should;0;webmaster;0;пусто, должны быть поршневые;
купить безмасляный поршневой компрессор;paste_from_serp;empty_but_should;0;webmaster;0;пусто, должны быть безмасляные поршневые;
компрессор воздушный безмасляный купить;paste_from_serp;empty_but_should;0;webmaster;0;нет результатов по безмасляным компрессорам;
купить винтовые воздушные компрессоры;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача по основной категории;
винтовой компрессор 15 квт купить;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача по стандартной мощности;
купить компрессор промышленный;paste_from_serp;empty_but_should;0;webmaster;0;пустая выдача по основному запросу;
купить компрессор безмасляный воздушный;paste_from_serp;empty_but_should;0;webmaster;0;нет выдачи по безмасляным компрессорам;
компрессор для лазерного станка по металлу;paste_from_serp;too_few;1;webmaster;8;всего 8 результатов;Компрессор винтовой ZEGA SEL 15-16 | Компрессор винтовой ZEGA SEL 22-16 | Винтовой компрессор ZEGA SELD 37-20
компрессор атлас копко цена;paste_from_serp;too_few;1;webmaster;5;всего 5 позиций для крупного бренда;Винтовой компрессор Atlas Copco GX3 10P 3 кВт | Винтовой компрессор Atlas Copco GX2 10P 2 кВт | Винтовой компрессор Atlas Copco GX5 10P 5 кВт
atlas copco компрессор цена;paste_from_serp;too_few;1;webmaster;5;найдено только 5 результатов;Винтовой компрессор Atlas Copco GX3 10P 3 кВт | Винтовой компрессор Atlas Copco GX2 10P 2 кВт | Винтовой компрессор Atlas Copco GX5 10P 5 кВт
купить рефрижераторный осушитель воздуха;paste_from_serp;too_few;1;webmaster;1;всего 1 результат вместо многих;Рефрижераторный осушитель ARIACOM MPiT 1400
купить рефрижераторный осушитель;paste_from_serp;too_few;1;webmaster;1;только 1 результат;Рефрижераторный осушитель ARIACOM MPiT 1400
компрессор винтовой с осушителем купить;paste_from_serp;too_few;1;webmaster;1;Только 1 товар при общем запросе;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
рефрижераторный осушитель сжатого воздуха купить;paste_from_serp;too_few;1;webmaster;1;только 1 результат;Рефрижераторный осушитель ARIACOM MPiT 1400
компрессор атлас копко купить;paste_from_serp;too_few;2;webmaster;1;только 1 результат для крупного бренда;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
купить винтовой компрессор с ресивером;paste_from_serp;too_few;0;webmaster;1;только 1 результат, не ясно наличие ресивера;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
компрессор atlas copco купить;paste_from_serp;too_few;1;webmaster;1;всего 1 результат по популярному бренду;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
купить винтовой компрессор атлас копко;paste_from_serp;too_few;1;webmaster;1;всего 1 результат по бренду Atlas Copco;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
купить компрессор atlas copco;paste_from_serp;too_few;1;webmaster;1;только 1 товар известного бренда;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
осушитель для компрессора рефрижераторный купить;paste_from_serp;too_few;1;webmaster;1;найден только 1 товар при наличии других;Рефрижераторный осушитель ARIACOM MPiT 1400
купить компрессор с осушителем;paste_from_serp;too_few;1;webmaster;1;найден только 1 товар;Винтовой компрессор Atlas Copco GA 18+ 10FF/4
рефрижераторный осушитель воздуха для компрессора купить;paste_from_serp;too_few;2;webmaster;1;только 1 результат;Рефрижераторный осушитель ARIACOM MPiT 1400
