Запрос;Паттерн;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
Винтовой компрессор Enger LC-11DFR-500 16;paste_from_serp;model_not_found;0;site;20;Модель LC-11DFR-500 не найдена, поиск сработал по «Enger + 16 бар» и вернул чужие серии;Винтовой компрессор Enger BS-37BF 16 | Винтовой компрессор Enger BS-37BT 16 | Винтовой компрессор Enger BS-37DF 16
купить винтовой компрессор;paste_from_serp;wrong_top;1;webmaster;20;Весь топ — только ABAC FORMULA, нет диверсификации по брендам для общего коммерческого запроса;Винтовой компрессор ABAC FORMULA 11-10 | Винтовой компрессор ABAC FORMULA 11-13 | Винтовой компрессор ABAC FORMULA 11-8
купить компрессорное оборудование;paste_from_serp;wrong_top;1;webmaster;20;Топ монополизирован одной серией ABAC SPINN 11 кВт — нет разнообразия по типу, мощности, бренду для широкого категорийного запроса;Винтовой компрессор ABAC SPINN 11-10 FM | Винтовой компрессор ABAC SPINN 11-10-TM270 | Винтовой компрессор ABAC SPINN 11-10-TM500
цена винтового компрессора;paste_from_serp;wrong_top;0;webmaster;20;Выдаются безмасляные поршневые компрессоры высокого давления вместо винтовых;Безмасляный поршневой компрессор высокого дав | Безмасляный поршневой компрессор высокого дав | Безмасляный поршневой компрессор высокого дав
покупка винтового компрессора;paste_from_serp;empty_but_should;0;webmaster;0;Нулевая выдача на транзакционный запрос по основному товару магазина;
купить компрессор;paste_from_serp;wrong_top;1;webmaster;20;Топ монополизирован одной серией 1А, нет разнообразия по типам и брендам для общего запроса;Компрессор 1А 21-30-2А | Компрессор 1А 21-30-4А | Компрессор 1А 21-50-2А
компрессор винтовой купить;paste_from_serp;wrong_top;1;webmaster;20;Топ занят только ABAC FORMULA, общий запрос требует микса брендов и мощностей;Винтовой компрессор ABAC FORMULA 11-10 | Винтовой компрессор ABAC FORMULA 11-13 | Винтовой компрессор ABAC FORMULA 11-8
азотная станция купить;paste_from_serp;empty_but_should;0;webmaster;0;Синоним генераторов азота не распознан, выдача пустая;
стоимость винтового компрессора;paste_from_serp;wrong_top;1;webmaster;20;Топ монополизирован серией ABAC MICRON — для общего ценового запроса нужна широкая выдача по категории;Винтовой компрессор ABAC MICRON 11-10-270 | Винтовой компрессор ABAC MICRON 11-10-500 | Винтовой компрессор ABAC MICRON 11-13-500
азотная станция цена;paste_from_serp;empty_but_should;0;webmaster;0;профильный товар магазина, нет ни одного результата;
винтовые компрессоры berg купить;paste_from_serp;wrong_top;1;webmaster;20;явный запрос на винтовые, а первые5 из 8 позиций — дизельные;Компрессор дизельный BERG М-7-8 | Компрессор дизельный BERG М-5-8 | Компрессор дизельный BERG М-20-8
адсорбционный осушитель купить;paste_from_serp;wrong_top;1;webmaster;20;первая позиция — компрессор Kraftmann POLARIS, не осушитель;"Винтовой компрессор Kraftmann POLARIS 45 W | Осушитель адсорбционный &quot;Airrus&quot; ОА | Осушитель адсорбционный &quot;Airrus&quot; ОА"
генератор кислорода купить;paste_from_serp;wrong_top;0;webmaster;20;Поиск не различает кислород и азот — выдаёт генераторы азота ENGER вместо кислородных;Генератор азота ENGER GN025-98TWL | Генератор азота ENGER GN1000-98TWL | Генератор азота ENGER GN1000-99TWL
адсорбционный осушитель воздуха купить;paste_from_serp;wrong_top;1;webmaster;20;первая позиция — нерелевантный винтовой компрессор Kraftmann вместо осушителя;"Винтовой компрессор Kraftmann POLARIS 45 W | Осушитель адсорбционный &quot;Airrus&quot; ОА | Осушитель адсорбционный &quot;Airrus&quot; ОА"
азотная установка купить;paste_from_serp;empty_but_should;0;webmaster;0;Нет результатов, хотя азотные установки входят в ассортимент (раздел 'генераторы газов');
купить рефрижераторный осушитель воздуха;paste_from_serp;wrong_top;0;webmaster;20;Системная ошибка: три разных запроса на осушители дают одинаковую страницу компрессоров ABAC;Винтовой компрессор ABAC FORMULA ME30-10 | Винтовой компрессор ABAC FORMULA ME30-13 | Винтовой компрессор ABAC FORMULA ME30-7.5
компрессорное оборудование купить;paste_from_serp;wrong_top;1;webmaster;20;топ полностью занят одной серией ABAC SPINN — нет разнообразия типов и брендов при широком запросе;Винтовой компрессор ABAC SPINN 11-10 FM | Винтовой компрессор ABAC SPINN 11-10-TM270 | Винтовой компрессор ABAC SPINN 11-10-TM500
