inn;predpriyatie;zakluchenij_otricatelnyh;iz_nih_ne_sootvetstvuet;sreda;srok;marki;poslednyaya_data;primer_zaklucheniya;chto_v_tekste;ssylka;proverok_nadzora;pokupaet;planiruet;region;telefon_predpriyatiya;lyudej_tehnicheskih;kto
4218000951;"АО ""ЕВРАЗ ЗСМК""";29;10;воздух | газ или иная среда | среда не названа;срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год | срок действует;К-1500-62-2 | К-1500-62-2, | К-275 | К-500-61-1 | К-86 | К-87 | КТК-12,5/35 | КТК-12,5/35,;30.12.2019;заключение ЭПБ № 68-ТУ-13926-2024;"технические устройства – воздушный турбокомпрессор № 1, К-1500-62-2, инвентарный № 200000000527-00; воздушный турбокомпрессор № 2, К-1500-62-2, инвентарный № 200000000528";https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-13926-2024;86;;;;;0;
4823006703;"ПАО ""НЛМК""";50;7;воздух | газ или иная среда | среда не названа;срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год;543ЦКК-400/40 | 543ЦКК-400/40, | АКВ-18 | ВКВ-22 | ВКВ-22-1, | К-1500-62-1 | К-1500-62-1, | К-1500-62-2;29.11.2017;заключение ЭПБ № 13-ТУ-00792-2017;Воздушный компрессор К-1500-62-2 инв.№87688 ст.№1 кислородный цех;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-00792-2017;198;;;Липецкая;"[""82300670348""]";0;Каратаев Сергей Михайлович | руководитель | (4742) 444-006 | очередь обзвона
3801009466;"АО ""АНХК""";7;6;среда не названа;;3ГП-5/220 | К-1500-62-1, | Н 750-23-6 | Н-750-23-6;29.12.2016;заключение ЭПБ № 38-ТУ-718834-2026;Турбокомпрессор марки К-1500-62-1, поз. 35/3, зав. № 2854, ПНХ, цех 12/44, установка 44, объект 1721;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-718834-2026;109;;;;;0;"Коробицына Александра Павловна | контактное лицо закупки (ремонт компресс | 8-3955-577328 | очередь обзвона ;; Бутакова Марина Валерьевна | контактное лицо заку"
2457002628;"АО ""НОРИЛЬСКГАЗПРОМ""";3;3;среда не названа;;;29.11.2023;заключение ЭПБ № 48-ЗС-90484-2023;Заключение № 67/2023-ЭПБ экспертизы промышленной безопасности здания: компрессорный цех (агрегат 1, 2, 3) компрессорный цех (агрегат-3) , инв. № 890100005612, Южно-Солёни;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-90484-2023;18;;;;;0;
3905078834;"ООО ""ГАЗПРОМ ГАЗОМОТОРНОЕ ТОПЛИВО""";3;2;воздух;;;13.10.2020;заключение ЭПБ № 57-ТУ-36060-2020;Модульный агрегат воздушного охлаждения МАВО.Д.630, зав. № 4409, ст. №2, инв. № 000002069 применяемое на опасном производственном объекте – Автомобильная газонаполнительн;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-36060-2020;178;;;Санкт-Петербург;;0;"Еремин Александр Михайлович | машинист |  | графики РТН ;; Созинов Алексей Геннадьевич | машинист |  | графики РТН"
6623000680;"ПАО ""ЕВРАЗ""";48;2;газ или иная среда | среда не названа;срок ИСТЁК | срок действует;2ГП-4/5, | К-1500 | МК-20/220,;31.07.2018;заключение ЭПБ № 66-ТУ-388680-2025;Заключение экспертизы промышленной безопасности технического устройства – нагнетатель коксового газа типа 1200-27-2, зав.№ 10, ст.№1, применяемый на опасном производствен;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-388680-2025;135;;;;;0;
7718013714;"АО ""ЧМПЗ""";12;2;среда не названа;;21А410-7-1 | 21А410-7-1,;29.06.2022;заключение ЭПБ № 01-ТУ-19293-2020;компрессорный агрегат F2MS3-2500 (зав. № 3636) аммиачно-холодильной установки АО «ЧМПЗ»;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-19293-2020;27;;;;;0;
5191431170;"АО ""КОЛЬСКАЯ ГМК""";18;1;воздух | среда не названа;срок ИСТЁК;К-1500 | К-250-61-2, | К-250-61-5 | К-500-61-1, | МА-9,5 | Н-1200-26-1, | Н-900-31-4, | НГ12;28.12.2021;заключение ЭПБ № 26-ТУ-16471-2020;маслоохладитель МА-9,5 центробежного компрессора К-250-61-5 № 1, инв. № 15624, площадки цеха энерго и электроснабжения, АО «Кольская ГМК» (пл. Заполярный, Мурманской обл.;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-16471-2020;73;1;;;;0;
1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";4;1;воздух | среда не названа;срок ИСТЁК;В-4А | К-210-62 | К-60-82-1 | К-605-182-1М, | ТВ-175-1.6;30.11.2021;заключение ЭПБ № 43-ТУ-20669-2018;"Компрессор центробежный марки К-210-62-1м, Зав. №3960; Техн. №В-6, эксплуатируемые в цехе №0771-0776, завода «Этилен» ПАО «Казаньоргсинтез», г. Казань, Республика Татарст";https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-20669-2018;63;;;Татарстан;"[""+7 (495) 777-55-00"", ""+7 (495) 780-55-";0;Сафин Айрат Фоатович | руководитель | (843) 533-98-10 | очередь обзвона
3528000597;"ПАО ""СЕВЕРСТАЛЬ""";11;1;газ или иная среда | среда не названа;срок ИСТЁК;КТК-12,5/35,;27.08.2019;заключение ЭПБ № 28-ТУ-00739-2024;"центробежный компрессор КТК-12,5/35, ст.№ 14 зав.№80002, применяемый на ОПО I класса опасности, рег. № А28-00205-0049 «Площадка кислородного цеха» ПАО ""Северсталь"" г. Чер";https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-00739-2024;186;;;Вологодская;"[""+7 (8202) 53-09-00"", ""+7 (8202) 53-09-";0;"Тихонов Вячеслав Николаевич | Начальник управления | +7 (8202) 53-20-17 | сайт, воздушный сегмент ;; Леверов Максим Александрович | Начальник управления | +7 (8"
