inn;predpriyatie;sayt;priznak;ves;godnost;ssylka_dokazatelstva;citata;kak_vzyat
6606003385;"АО ""УРАЛЭЛЕКТРОМЕДЬ""";https://www.uralelektromed.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://www.uralelektromed.ru/about;равлению качеством пищевых добавок). Реквизиты Наименование АО «УРАЛЭЛЕКТРОМЕДЬ» ИНН/КПП: 6606003385/668601001 Предприятие имеет 3 производственные пл;
7743696750;"АО ""ГРАСИС""";https://grasys.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://grasys.ru/o-kompanii/sertifikaty-i-razresheniya/;"ве в СРО № 094 Скачать PDF; 0,5 МБ Свидетельство о допуске к проектированию № 094.11-2010-7743696750-П-027 Скачать PDF; 1,7 МБ Свидетельство о допуске";
7453101232;"ООО ""ЧЕЛИНДЛИЗИНГ""";https://chelindleasing.ru;ИНН предприятия найден в тексте страницы сайта;3;годен;https://chelindleasing.ru/investors/;"нская индустриальная лизинговая компания"" Сокращенное наименование ООО ""ЧелИндЛизинг"" ИНН 7453101232 КПП 745301001 ОГРН 1037403882141 ОКВЭД 65.21 ОКПО";
1651057721;"ООО ""АЙ-ПЛАСТ""";https://iplast.com;ИНН предприятия найден в тексте страницы сайта;3;годен;https://iplast.com/;"t.com Подписаться на новости и акции &copy; 2026 Все права защищены. ООО «Ай-Пласт» / ИНН 1651057721 / ОГРН 1091651001749 Темная тема Светлая тема Пра";
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";https://rte.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
5103070023;"АО ""АПАТИТ""";https://www.phosagro.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7406002523;"АО ""КАРАБАШМЕДЬ""";https://karmed.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
1433000147;"АК ""АЛРОСА"" (ПАО)";https://alrosa.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";https://sibur.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
8703009509;"АО ""РУДНИК КАРАЛЬВЕЕМ""";https://goldpro.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";https://www.uralmash-ngo.com;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
6607000556;"ПАО ""КОРПОРАЦИЯ ВСМПО-АВИСМА""";https://vsmpo.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7702691545;"ООО ""ЛАБ ИНДАСТРИЗ""";https://lab-industries.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
2434000335;"АО ""ПОЛЮС КРАСНОЯРСК""";https://polyus.com;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС""";https://metafrax.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";https://sibur.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
4823006703;"ПАО ""НЛМК""";https://nlmk.com;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
1655283577;"ООО ""НАНОФАРМА ДЕВЕЛОПМЕНТ""";https://izvarino-pharma.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";https://www.nestle.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7455010284;"ООО ""АЛЬКОР""";https://alikor.com;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7805059867;"АО ""ПЕТЕРБУРГСКИЙ ТРАКТОРНЫЙ ЗАВОД""";https://kirovets-ptz.com;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7702583250;"ООО ""ЛЛК-ИНТЕРНЕШНЛ""";http://lukoil-masla.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";https://www.surgutneftegas.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
4205081463;"ООО ""ТД ""СИБИРСКИЙ ЦЕМЕНТ""";https://www.sibcem.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
4221000630;"АО ""ОРГАНИКА""";https://organica-nk.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
8603087285;"ООО ""ННПО""";https://nnpo.net;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
6324079869;"ООО ""ЛАДА ФУД ТЕХНОЛОДЖИ""";https://xn--80ab3alkpp.xn--p1ai;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
5916015580;"ООО ""МАСЛОЗАВОД НЫТВЕНСКИЙ""";https://nytva-maslo.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";https://www.burgaz.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7701568891;"ООО ""ГРК ""БЫСТРИНСКОЕ""";https://grkb.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";https://sibur.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
6686095452;"ООО ""СИНЕРГИЯ""";https://synergy.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
5405125896;"ООО ""ИНТЕРПАК""";https://interpacknsk.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
5905018998;"АО ""СИБУР-ХИМПРОМ""";https://sibur.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
3528006408;"АО ""ЧФМК""";https://www.cfmk.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
6665002150;"АО ""КУМЗ""";https://kumz.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
8603166755;"ООО ""ЗАПСИБТРАНСГАЗ""";https://sibur.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
6685147531;"ООО ""СПЕЦЦЕМЕНТСЕРВИС""";https://spec-cement.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
1651031226;"ООО ""ПРЕКАБ""";https://precab.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
8905000428;"АО ""ГАЗПРОМНЕФТЬ-ННГ""";https://nng.gazprom-neft.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
8602067092;"ПАО ""ЮНИПРО""";https://unipro.energy;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
7705183476;"ООО ""АРНЕСТ ЮНИРУСЬ""";https://www.unirusgroup.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
3325011410;"АО ""МИЛМОНД""";https://hfoods.ru;название предприятия целиком узнаётся в тексте сайта;2;годен;;;
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";https://uralsteel.com;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
3851004128;"ООО ""КНАУФ ГИПС БАЙКАЛ""";https://www.knauf.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
1658152572;"ООО ""МОНАТ ГРУПП""";https://monatgroup.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
4028001072;"АО ""КАЛУГАГЛАВСНАБ""";https://kgs.kaluga.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6310000160;"АО ""СМЗ""";https://www.smw.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
2706028675;"ООО ""АГМК""";https://agmk.uz;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
740400188249;ВОЛКОВ АЛЕКСЕЙ ЕВГЕНЬЕВИЧ;null;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6230051360;"ООО ""ЗАВОД ТЕХНО""";https://www.tn.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
4704052309;"ООО ""РОКВУЛ-СЕВЕР""";https://rwl.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
7706613770;"ООО ""РН-БУРЕНИЕ""";https://rosneft.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
2462004363;"АО ""КЗСК""";https://sibur.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
5433188577;"ООО ""ЗТИ СИБИРЬ""";https://www.zti.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
7802118578;"ООО ""ОПХ""";null;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
3321005528;"АО ""ЛЕККО""";https://pharmstd.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
4345465597;"ООО ПК ""КИРОВ ТАЙР""";https://prom.kirovreg.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6441025673;"ООО ""ЦЕМЕНТУМ ВОЛГА""";null;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6673092045;"АО ""ОКБ ""НОВАТОР""";https://xn--c1atgl.xn--p1ai;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
5024160154;"ООО ""ЗТИ-М""";https://www.zti.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
4216001565;"АО ""КФ""";https://crossfire.z8games.com;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
4631002737;"ОАО  ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""";https://pharmstd.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6632001031;"АО ""СЗФ""";https://sfap.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";https://heidelbergcement.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
7705598512;"ООО ""СИРИАЛ ПАРТНЕРС РУС""";https://www.ceair.com;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
1646031132;"ООО ""АЛАБУГА-ВОЛОКНО""";https://rosatom-composites.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6685126161;"ООО ""АРДЕНА""";https://arden.su;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6671097930;"ООО ""СТИЛ АРМОР""";https://vk.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
7435006346;"АО ""АГК""";https://xn--80agvc9a.xn--p1ai;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
7724729390;"ФБУ ""ФУ БХУХО""";https://vk.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
7204205739;"ООО ""ТЭО""";https://teo.ecotko.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
5911029807;"ПАО ""УРАЛКАЛИЙ""";https://www.uralkali.com;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";https://ugok.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6438007280;"ООО ""РУСАГРО-АТКАРСК""";https://ooogsm.pro;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6664003916;"АО ""НИЗМК""";https://xn--80acgfbsl1azdqr.xn--p1ai;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
5402194877;"ООО ""СИБИРСКИЙ ГУРМАН - НОВОСИБИРСК""";https://vk.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
4715026815;"ООО ""РСХ""";https://www.rshb.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6803629911;"ООО ""ТАМБОВСКИЙ БЕКОН""";https://ooogsm.pro;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
0271055557;"ООО ""АГАР""";https://aqara.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
8901030855;"АО ""САЛЕХАРДЭНЕРГО""";https://www.slenergo.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6623005777;"ПАО ""УХП""";https://ucp.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
6685148334;"ООО ""ГОТЭК-ПОЛИПАК АРАМИЛЬ""";https://gotek.ru;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
5401232181;"ООО ""СИБЭЛЕКТРОПРИВОД""";null;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
7413000630;"АО ""КМЭЗ""";null;домен найден поиском, ни ИНН, ни названия на страницах нет;1;кандидат;;;
