inn;predpriyatie;vid;znachenie;chelovek;dolzhnost;rol;istochnik;ssylka;citata
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";почта;belkamneft@belkam.com;;;общий;сайт предприятия;https://www.belkamneft.ru/;Официальный сайт компании АО «Белкамнефть» им. А.А. Волкова belkamneft@belkam.com Задать вопрос +7 (3412) 911-730 +7 (3412) 911-630 Горячая линия “Антикоррупция” (3412) 911-661 Остав
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";почта;kudryavtsevany@belkam.com;;;общий;сайт предприятия;https://www.belkamneft.ru/about/vacance/;публика Контактная информация специалист по подбору персонала Кудрявцева Надежда тел.83412606728 эл.почта:kudryavtsevany@belkam.com Обязанности выполнение работ по текущему и капитальному ремонту нефтяных скважин I и II категории сложности
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";почта;kudryavtsvevany@belkam.com;;;общий;сайт предприятия;https://www.belkamneft.ru/about/vacance/;кая Республика Контактная информация Кудрявцева Надежда Юрьевна тел. +73412606728 +79821178001 эл.почта: kudryavtsvevany@belkam.com Обязанности эксплуатация (ТР, ТО) систем отопления, водоснабжения, канализации, тепловой сети производствен
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";почта;kudryavtsevany@bekkam.com;;;общий;сайт предприятия;https://www.belkamneft.ru/about/vacance/;орождения на территории УР Регион Удмуртская Республика Контактная информация +73412606728 +79821178001 kudryavtsevany@bekkam.com Обязанности сварка труб диаметром от 32 до 1020 (основные диаметры 57-219), сварка различных металлоконстру
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";телефон;+73412606728;;;общий;сайт предприятия;https://www.belkamneft.ru/about/vacance/;Регион Удмуртская Республика Контактная информация специалист по подбору персонала Кудрявцева Надежда тел.83412606728 эл.почта:kudryavtsevany@belkam.com Обязанности выполнение работ по текущему и капитальному ремонту нефтяны
0264015786;"АО ""БЕЛКАМНЕФТЬ"" ИМ. А.А. ВОЛКОВА";телефон;+79821178001;;;общий;сайт предприятия;https://www.belkamneft.ru/about/vacance/;помощь. Регион Удмуртская Республика Контактная информация Кудрявцева Надежда Юрьевна тел.+73412606728 +79821178001 эл.почта: kudryavtsevany@belkam.com Обязанности -Производить оценку рисков и ограничений, определяющих раб
0276051595;"ООО ""Кислород""";почта;info@kislorod.ru;;;общий;сайт предприятия;https://kislorod.ru/;-14 8-800-333-08-14 Звонок бесплатный +7 (499) 322-39-66 Пн-Сб 10:00-20:00 (MSK) Заказать звонок E-mail info@kislorod.ru Адрес Москва ул. Брянская, д. 32, стр. 6 БЕСПЛАТНАЯ гостевая парковка! Киевская / Киевская / К
0276051595;"ООО ""Кислород""";телефон;+78003330814;;;общий;сайт предприятия;https://kislorod.ru/;ывы Сертификаты Новости Наша команда Это интересно Статьи Вопрос-ответ Производители (бренды) 8-800-333-08-14 8-800-333-08-14 Звонок бесплатный +7 (499) 322-39-66 Пн-Сб 10:00-20:00 (MSK) Заказать звонок E-mail inf
0276051595;"ООО ""Кислород""";телефон;+74993223966;;;общий;сайт предприятия;https://kislorod.ru/;тересно Статьи Вопрос-ответ Производители (бренды) 8-800-333-08-14 8-800-333-08-14 Звонок бесплатный +7 (499) 322-39-66 Пн-Сб 10:00-20:00 (MSK) Заказать звонок E-mail info@kislorod.ru Адрес Москва ул. Брянская, д. 32,
0276051595;"ООО ""Кислород""";почта;mail@kislorod.ru;;;общий;сайт предприятия;https://kislorod.ru/contacts/;сская Режим работы магазина: Пн-Пт: 10.00-18.00 Сб: 11.00-17.00 Вс: выходной +7 (812) 385 59 66 mail@kislorod.ru +7 (812) 385 59 66 mail@kislorod.ru На карте О компании Магазины Отзывы Сертификаты Новости
0276051595;"ООО ""Кислород""";телефон;+78123855966;;;общий;сайт предприятия;https://kislorod.ru/contacts/;.м. Садовая ст.м. Спасская Режим работы магазина: Пн-Пт: 10.00-18.00 Сб: 11.00-17.00 Вс: выходной +7 (812) 385 59 66 mail@kislorod.ru +7 (812) 385 59 66 mail@kislorod.ru На карте О компании Магазины Отзывы Серт
0276051595;"ООО ""Кислород""";почта;info@o2-spb.ru;;;общий;сайт предприятия;https://kislorod.ru/company/otzyvy/;"я более не повторялась. 
 А Вам хотели бы сделать особое предложение. Просим связаться с нами по эл.почте info@o2-spb.ru или позвонить на номер 8-800-333-08-14
 
 С уважением,
 администрация магазина
 Центр КИСЛОРО"
0277046541;"ООО ""НИП НГ ""Петон""";телефон;+73472468709;;;общий;сайт предприятия;https://peton.ru/;для жителей регионов своего присутствия Подробнее Холдинг Проекты Тендеры Карьера Пресс-центр Уфа +7 (347) 246-87-09 Москва +7 (495) 980-27-18 Корпоративный университет © 2014 - 2026 НИПИ НГ ПЕТОН Политика конфиденциа
0277046541;"ООО ""НИП НГ ""Петон""";телефон;+74959802718;;;общий;сайт предприятия;https://peton.ru/;присутствия Подробнее Холдинг Проекты Тендеры Карьера Пресс-центр Уфа +7 (347) 246-87-09 Москва +7 (495) 980-27-18 Корпоративный университет © 2014 - 2026 НИПИ НГ ПЕТОН Политика конфиденциальности Разработка сайта —
0277046541;"ООО ""НИП НГ ""Петон""";почта;peton@peton.ru;;;общий;сайт предприятия;https://peton.ru/ru/contacts/;ан, г. Уфа, пр. Салавата Юлаева, 58 Телефон: +7 (347) 246-87-09 Телефон: +7 (347) 246-87-01 (факс) E-mail: peton@peton.ru Пресс-центр E-mail: pr@peton.ru Представительство в г. Москве 117246, г. Москва, Научный проезд, 14а, стр. 1
0277046541;"ООО ""НИП НГ ""Петон""";почта;pr@peton.ru;;;общий;сайт предприятия;https://peton.ru/ru/contacts/;Телефон: +7 (347) 246-87-09 Телефон: +7 (347) 246-87-01 (факс) E-mail: peton@peton.ru Пресс-центр E-mail: pr@peton.ru Представительство в г. Москве 117246, г. Москва, Научный проезд, 14а, стр. 1, БЦ «Smart Park» Телефон: +7 (4
0277046541;"ООО ""НИП НГ ""Петон""";телефон;+73472468701;;;общий;сайт предприятия;https://peton.ru/ru/contacts/;а 450071, РФ, Республика Башкортостан, г. Уфа, пр. Салавата Юлаева, 58 Телефон: +7 (347) 246-87-09 Телефон: +7 (347) 246-87-01 (факс) E-mail: peton@peton.ru Пресс-центр E-mail: pr@peton.ru Представительство в г. Москве 117246, г. Моск
0278042388;"ООО ""СПК БЕТОН""";телефон;+73472356655;;;общий;сайт предприятия;https://spkbeton.ru/;"очная заливка на ""Планете"" Бетон От производителя © 2026 Правовая информация ООО «СПК БЕТОН» Приемная: +7 (347) 235-66-55 Отдел сбыта: +7 (347) 244-79-36 Отдел сбыта, моб.: +7-919-619-12-38 Bestweb - разработка сайта, поддержка"
0278042388;"ООО ""СПК БЕТОН""";телефон;+73472447936;;;общий;сайт предприятия;https://spkbeton.ru/;От производителя © 2026 Правовая информация ООО «СПК БЕТОН» Приемная: +7 (347) 235-66-55 Отдел сбыта: +7 (347) 244-79-36 Отдел сбыта, моб.: +7-919-619-12-38 Bestweb - разработка сайта, поддержка сайта, г.Уфа
0278042388;"ООО ""СПК БЕТОН""";телефон;+79196191238;;;общий;сайт предприятия;https://spkbeton.ru/;ормация ООО «СПК БЕТОН» Приемная: +7 (347) 235-66-55 Отдел сбыта: +7 (347) 244-79-36 Отдел сбыта, моб.: +7-919-619-12-38 Bestweb - разработка сайта, поддержка сайта, г.Уфа
0278042388;"ООО ""СПК БЕТОН""";почта;ufabeton@yandex.ru;;;общий;сайт предприятия;https://spkbeton.ru/contacts/;"лтерия: +7 (347) 235-79-90 Отдел реализации: +7 (347) 244-79-36 Диспетчерская: +7 (347) 284-64-66 E-mail: ufabeton@yandex.ru ВЫПОЛНЕННЫЕ ОБЪЕКТЫ: ЖК ""Парус"" Пр. Октября ВЫПОЛНЕННЫЕ ОБЪЕКТЫ: ЖК ""Парус"" Пр. Октября ВЫПОЛНЕННЫЕ ОБЪЕКТЫ:"
0278042388;"ООО ""СПК БЕТОН""";телефон;+73472357990;;;общий;сайт предприятия;https://spkbeton.ru/contacts/;спублика Башкортостан, г. Уфа, ул. Уфимское шоссе, 24/4 Тел/факс Приемная: +7 (347) 235-66-55 Бухгалтерия: +7 (347) 235-79-90 Отдел реализации: +7 (347) 244-79-36 Диспетчерская: +7 (347) 284-64-66 E-mail: ufabeton@yandex.ru ВЫПОЛН
0278042388;"ООО ""СПК БЕТОН""";телефон;+73472846466;;;общий;сайт предприятия;https://spkbeton.ru/contacts/;"ая: +7 (347) 235-66-55 Бухгалтерия: +7 (347) 235-79-90 Отдел реализации: +7 (347) 244-79-36 Диспетчерская: +7 (347) 284-64-66 E-mail: ufabeton@yandex.ru ВЫПОЛНЕННЫЕ ОБЪЕКТЫ: ЖК ""Парус"" Пр. Октября ВЫПОЛНЕННЫЕ ОБЪЕКТЫ: ЖК ""Парус"" Пр."
0278156201;"ООО ""БитумОйл""";почта;oilbitum@gmail.com;;;общий;сайт предприятия;https://bitum-oil.ru/kontakty;Контакты 450037, Республика Башкортостан, г.Уфа, ул.Комсомольская д. 27 Телефоны: +7 (347) 246-65-35 E-mail: oilbitum@gmail.com Битумный цех г. Сибай Восточное шоссе, 31 Телефон: +7 (34775)-2-50-57 БитумОйл - 2020 © 2026. All Righ
0278156201;"ООО ""БитумОйл""";телефон;+73472466535;;;общий;сайт предприятия;https://bitum-oil.ru/kontakty;Контакты - БитумОйл Контакты 450037, Республика Башкортостан, г.Уфа, ул.Комсомольская д. 27 Телефоны: +7 (347) 246-65-35 E-mail: oilbitum@gmail.com Битумный цех г. Сибай Восточное шоссе, 31 Телефон: +7 (34775)-2-50-57 БитумОйл
0306218607;"ООО ""Карьер Доломит""";почта;dolomit@nlmk.com;;;общий;сайт предприятия;https://dolomit.nlmk.com/;"омплаенс Контакты АО ""Доломит"" +7 (47465) 28-552 399854, Липецкая область, Данков, ул. Свердлова, 1 dolomit@nlmk.com +7 (47465) 28-552 Карта сайта Контакты © 2026 НЛМК. Все права сайта защищены Настройки конфиденциал"
0306218607;"ООО ""Карьер Доломит""";почта;nl-a-dolomit@nlmk.com;;;общий;сайт предприятия;https://dolomit.nlmk.com/ru/contacts/;контакты Служба по работе с персоналом Отдел снабжения Отдел сбыта Общие контакты +7 (47465) 28-552 nl-a-dolomit@nlmk.com 399854, Липецкая обл., город Данков, улица Свердлова, 1 Служба по работе с персоналом +7 (47465) 28-521 p
0306218607;"ООО ""Карьер Доломит""";почта;personal.dolomit@nlmk.com;;;общий;сайт предприятия;https://dolomit.nlmk.com/ru/contacts/;m 399854, Липецкая обл., город Данков, улица Свердлова, 1 Служба по работе с персоналом +7 (47465) 28-521 personal.dolomit@nlmk.com 399854, Липецкая обл., город Данков, улица Свердлова, 1 Отдел снабжения +7 (47465) 28-438 +7 (47465) 28-5
0306218607;"ООО ""Карьер Доломит""";почта;dymov_vd@nlmk.com;;;общий;сайт предприятия;https://dolomit.nlmk.com/ru/contacts/;854, Липецкая обл., город Данков, улица Свердлова, 1 Отдел снабжения +7 (47465) 28-438 +7 (47465) 28-529 dymov_vd@nlmk.com 399854, Липецкая обл., город Данков, улица Свердлова, 1 Отдел сбыта +7 (47465) 28-436 +7 (47465) 28-406
