marka;klyuch;napisaniya;forma;forma_hodovaya;vstrech;innov;tip;chem_dobyta;primer;ssylka
А59-500;А59500;А59-500;КЦ-Ц;да;291;1;компрессорная станция;регулярка;Техническое устройство: Электродвигатель взрывозащищенного исполнения: тип EX 140-4 зав. № 382322, техн. № ВВ-2, инв. № 304422. Опасный производственный объект (ОПО): Площадка промысловой компрессорно;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-41804-2025
ГП-2;ГП2;ГП-2;К-Ц;да;237;1;компрессорная станция;регулярка;Техническое устройство: Клапан предохранительный DN50 PN40 зав.№ 6447, тех.№ 2-282, инв.№ 387319 Опасный производственный объект (ОПО): Участок комплексной подготовки газа ГП-2 Бованенковского нефтега;https://monitor-pb.ru/conclusion/89-%D0%A2%D0%A3-940364-2026
А59-50021;А5950021;А59-50021;КЦ-Ц;да;222;1;компрессорная станция;регулярка;Техническое устройство: Насос плунжерный НРЛ 0,32-160 СГУ-2, зав. №31, тех.50Н-1 №3 Инвентарный номер: 307131 Опасный производственный объект (ОПО): Площадка промысловой компрессорной станции Юбилейно;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-33851-2025
ГП-9;ГП9;ГП-9;К-Ц;да;87;1;компрессорная станция;регулярка;Сосуд, работающий под давлением Пылеуловитель тех. № П-1 №1, зав. № 44464, рег. № 9-55 Инвентарный номер: 113619 Опасный производственный объект (ОПО): Площадка промысловой компрессорной станции ГП-9 ;https://monitor-pb.ru/conclusion/89-%D0%A2%D0%A3-62832-2025
GLa 13.8;GLA13.8;GLa 13.8;Л Ц.Ц;да;80;1;ресивер;провайдер+регулярка;Заключение экспертизы промышленной безопасности на техническое устройство Ресивер поз. 6, зав. № 3, рег. № 9898 (Об. 348, цех № 5, ПУ, ООО «Газпром нефтехим Салават»);https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-475686-2025
АФЭН 6;АФЭН6;АФЭН 6 | АФЭН-6;К Ц;да;70;1;воздуходувка;регулярка;ЦДНГ-15, куст 554: Нагнетательная арматура, всего 1 шт.: АФЭН 65х21 скв. №1020, зав. №25697.;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-01166-2021
ГП-1;ГП1;ГП-1;К-Ц;да;70;1;компрессорная станция;регулярка;Техническое устройство: Емкость сбора, хранения и выдачи жидких, газообразных продуктов и их смесей (Е-1), зав. № 405И, рег. № 1-72 Инвентарный номер: 457921 Опасный производственный объект (ОПО): Пло;https://monitor-pb.ru/conclusion/89-%D0%A2%D0%A3-86304-2025
ВА180М12 УХЛ1;ВА180М12УХЛ1;ВА180М12 УХЛ1 | ВА180М12УХЛ1;КЦКЦ КЦ;нет;69;1;не машина;провайдер;«Площадка компрессорной станции Сосногорского ЛПУ МГ» рег. № А25-00251-0618, класс опасности ОПО II - Взрывозащищённый электродвигатель «ВА180М12 УХЛ1» зав. № 10320015, ст. №5035, место установки фили;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-16377-2019
ГП-3;ГП3;ГП-3;К-Ц;да;63;1;компрессорная станция;регулярка;Техническое устройство: Электродвигатель взрывозащищенного исполнения: тип W3G205TCO1 зав. № 531, техн. № АВО масла В-5 ГПА 31, инв. № 113135 Опасный производственный объект (ОПО): Площадка промыслово;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-42424-2025
58900.06-01;58900.0601;58900.06-01;Ц.Ц-Ц;да;62;1;ресивер;провайдер+регулярка;Ресивер 58900.06-01» зав.№889, рег.№215;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-944902-2026
ГП-6;ГП6;ГП-6;К-Ц;да;60;1;компрессорная станция;регулярка;Техническое устройство: Сепаратор, зав. № 10024/302/005-2, рег. № 6-33, инв. № 387639 Опасный производственный объект (ОПО): Площадка промысловой компрессорной станции ГП-6 месторождения Медвежье Реги;https://monitor-pb.ru/conclusion/89-%D0%A2%D0%A3-955771-2026
Моника;МОНИКА;Моника;К;да;57;1;компрессор;провайдер+регулярка;"Турбокомпрессор марки Моника №1 поз. 30.1, зав. № 2805383 АО ""Башкирская содовая компания"" цех №85 ОПО ""Площадка производства ""Сода"" АО ""Башкирская содовая компания"" (рег.№ А41-00092-0012; III класс о";https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-873380-2026
4HR3KN-200/210-5-249WLK;4HR3KN200/2105249WLK;4 HR 3 KN-200/210-5-249 WLK | 4HR 3KN-200/210-5-249WLK | 4HR3KN 200/210-5-249 WLK | 4HR3KN-200/210-5-249 WLK | 4HR3KN-200/210-5-249WLK | 4hr3kn-200/210-5-249wlk;ЦЛЦЛ-Ц/Ц-Ц-ЦЛ;нет;54;1;компрессор;провайдер+регулярка;Техническое устройство: Компрессорная установка 4HR3KN-200/210-5-249WLK, ст. № 1, зав. № 51818, инв. № 000001463 Место установки: 301130, Российская Федерация, Тульская область, Ленинский район, дер. ;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-34324-2024
6ГВ;6ГВ;6ГВ;ЦК;да;47;1;компрессор;провайдер+регулярка;Винтовой компрессор марки 6ГВ, зав. № 89011, установленный на ГКС «Вахская» ЦДПКГ, Вахское месторождение Заказчик – АО «Томскнефть» ВНК;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-55347-2020
7ВКГ;7ВКГ;7ВКГ;ЦК;да;46;1;компрессор;провайдер+регулярка;Винтовой компрессор марки 7ВКГ, зав. № 88016, установленный на ГКС «Вахская» ЦДПКГ, Вахское месторождение Заказчик – АО «Томскнефть» ВНК;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-55345-2020
ТГ-150-1,12;ТГ1501.12;ТГ 150-1,12 | ТГ-150-1,12;К-Ц-Ц,Ц;да;44;1;компрессор;провайдер+регулярка;"ЗАКЛЮЧЕНИЕ №2025-НКТУ-087-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: ""Турбокомпрессор газовый ТГ-150-1,12, зав. № 343, техн. № 13/1 (2 тех. поток), применяемое на опасном произ";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-92147-2025
В-8-2-УХЛ1;В82УХЛ1;В-8-2-УХЛ1;К-Ц-Ц-КЦ;да;43;1;ресивер;провайдер;Воздухосборник В-8-2-УХЛ1, заводской номер 19, учетный номер 8306, применяемый на опасном производственном объекте «Площадка воздухосборников на станции Тулун Тулунской дистанции пути – структурного п;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-919047-2026
ГП-8;ГП8;ГП-8;К-Ц;да;42;1;компрессорная станция;регулярка;Техническое устройство: кран шаровой Ду200 Ру80 тех. No 7.’, зав.No б/н, инв.No 113815 Опасный производственный объект (ОПО): Площадка промысловой компрессорной станции ГП-8 месторождения Медвежье Рег;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-36954-2024
400-20Л;40020Л;400-20Л;Ц-ЦК;нет;36;1;генератор кислорода;провайдер+регулярка;Баллон 400-20Л зав.№1799, рег.№14771 на ОПО А14-00426-0016 площадка кислородной станции;https://monitor-pb.ru/conclusion/14-%D0%A2%D0%A3-07843-2017
УБР-1 ПА;УБР1ПА;УБР-1 ПА;К-Ц К;да;34;1;ресивер;регулярка;ресивер 58900.06-01 зав.№603, рег.№9496, принадлежащий Сургутскому УБР-1 ПАО «Сургутнефтегаз»;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-60968-2025
Людмила;ЛЮДМИЛА;Людмила;К;да;34;1;компрессор;провайдер+регулярка;"Центробежный компрессор марки Людмила №2 поз. 18.2, зав. № 1805320, АО ""Башкирская содовая компания"" цех №85, ОПО ""Площадка производства ""Сода"" АО ""Башкирская содовая компания"" (рег.№ А41-00092-0012; ";https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-844983-2026
370-18-2;370182;370-18-2;Ц-Ц-Ц;да;33;1;компрессор;провайдер+регулярка;электроприводной газоперекачивающий агрегат СТД-12500-2 с центробежным нагнетателем 370-18-2инв.№072418, электродвигатель зав. № МАСГЖ, центробежный нагнетатель зав. №81;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-02993-2017
4 HR 3 KN-200/210-5-249 WLK;4HR3KN200/2105249WLK;4 HR 3 KN-200/210-5-249 WLK | 4HR 3KN-200/210-5-249WLK | 4HR3KN 200/210-5-249 WLK | 4HR3KN-200/210-5-249 WLK | 4HR3KN-200/210-5-249WLK | 4hr3kn-200/210-5-249wlk;Ц Л Ц Л-Ц/Ц-Ц-Ц Л;нет;32;1;компрессор;провайдер+регулярка;компрессор зав. №51817, поз. № КУ-2 (в составе компрессорной установки типа 4 HR 3 KN-200/210-5-249 WLK), эксплуатируемый на АГНКС-1 г. Тула филиала ООО «Газпром газомоторное топливо» в г. Москва;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-22719-2019
АФЭН 65;АФЭН65;АФЭН 65;К Ц;да;30;1;воздуходувка;регулярка;ЦДНГ-19, куст 285 Нагнетательная арматура, всего 1 шт.: АФЭН 65×210 М-04 скв. №5195, зав. №62 с колонной головкой ОКО 21-245х168/146 зав. №56;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-01177-2021
К-6;К6;К-6;К-Ц;да;30;1;ресивер;регулярка;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ № 0354-2025 на техническое устройство - сосуд, работающий под давлением ресивер компрессора К-6, зав. №276, рег.№13 применяемое на опасном производствен;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-387863-2025
Т-054ОМЗ;Т054ОМЗ;Т-054ОМЗ;К-ЦК;да;28;1;воздуходувка;регулярка;Заключение экспертизы промышленной безопасности №26-1466 на техническое устройство блок манифольда нагнетательной линии Т-054ОМЗ зав.№15 эксплуатируемый Сургутским УПНПиКРС ПАО «Сургутнефтегаз»;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-895543-2026
4ВУ;4ВУ;4ВУ;ЦК;да;28;1;компрессор;провайдер+регулярка;Компрессор 4ВУ, зав. №17644;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-07862-2018
АНЛ 6;АНЛ6;АНЛ 6;К Ц;да;27;1;воздуходувка;регулярка;"ЦДНГ-5, куст 36т: Фонтанная и нагнетательная арматура, всего 2 шт.: АНЛ 65х210 скв.№1112, зав.№12455; АФК 65х140 скв.№1113, зав.№6282";https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46442-2020
ЦДНГ-14;ЦДНГ14;ЦДНГ-14;К-Ц;да;27;1;воздуходувка;регулярка;техническое устройство, применяемое на опасном производственном объекте: Нагнетательная арматура, ЦДНГ-14, куст 257б, всего 3 шт.: АФЭН 65х210 М-04 скв.№6540, зав.№130 с колонной головкой ОКО1-21-146 ;https://monitor-pb.ru/conclusion/06-%D0%A2%D0%A3-14398-2020
АГНКС-1;АГНКС1;АГНКС-1;К-Ц;да;24;1;компрессорная станция;регулярка;ТЕХНИЧЕСКОЕ УСТРОЙСТВО Газораздаточная колонка БА-300/2/2/3 применяемая на опасном производственном объекте: Автомобильная газонаполнительная компрессорная станция АГНКС-1 c. Надежда зав. № 0881.11.20;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-37118-2024
4HR 3KN-200/210-5-249WLK;4HR3KN200/2105249WLK;4 HR 3 KN-200/210-5-249 WLK | 4HR 3KN-200/210-5-249WLK | 4HR3KN 200/210-5-249 WLK | 4HR3KN-200/210-5-249 WLK | 4HR3KN-200/210-5-249WLK | 4hr3kn-200/210-5-249wlk;ЦЛ ЦЛ-Ц/Ц-Ц-ЦЛ;нет;24;1;компрессор;провайдер+регулярка;техническое устройство- Компрессорная установка 4HR 3KN-200/210-5-249WLK, инв.№ 000001923, заводской № 65010, ООО «Газпром газомоторное топливо», ОПО Автомобильная газонаполнительная компрессорная ста;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-21785-2021
В2g-25/6.3.Z;В2G25/6.3.Z;В2g-25/6.3.Z;КЦЛ-Ц/Ц.Ц.Л;нет;24;1;компрессор;провайдер+регулярка;Компрессор типа В2g-25/6.3.Z, зав. №5431, тех. №CII 3/4.6., инв. №4315 ПАО «Уфаоргсинтез», отделение 203, объект 203-205 Производство полиэтилена ПАО «Уфаоргсинтез»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-16974-2019
B2g25.6,3z;B2G25.6.3Z;B2g25.6,3z;ЛЦЛЦ.Ц,ЦЛ;нет;24;1;компрессор;провайдер+регулярка;Компрессор поршневой высокого давления B2g25.6,3z (зав.№5439, техн.№ 3/4.4), эксплуатируемый на ПАО «Казаньоргсинтез», завод Полиэтилена, производство полиэтилена низкой плотности - сэвилен , установк;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-47795-2025
КА-32-2;КА322;КА-32-2;К-Ц-Ц;да;24;1;ВРУ;провайдер+регулярка;Воздухоразделительная установка КА-32-2, ст. № 14, зав. № 1, площадка кислородной станции № 2 кислородного цеха.;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-01288-2016
Ж-7;Ж7;Ж-7;К-Ц;да;23;1;ресивер;регулярка;Центральный ресивер поз.9/3, зав.№ 1036, рег.№ 1217х Цех Ж-7-7а-7б, отделение Ж-7, АО «СНХЗ»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-27020-2023
ТМ 2000-3;ТМ20003;ТМ 2000-3;К Ц-Ц;да;23;1;компрессор;регулярка;турбокомпрессор двухступенчатый ТМ 2000-3, позиционный № К-5, инвентарный № 000019671;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-05071-2016
2УАП;2УАП;2УАП;ЦК;да;23;1;компрессор;провайдер;углекислотно - аммиачный компрессор марки 2УАП поз. 24/12, зав. № 12 цеха аммиачной воды, жидкой углекислоты и наполнения баллонов ОАО «Акрон» (г. Великий Новгород);https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-07349-2016
TOROMONT;TOROMONT;TOROMONT;Л;да;23;1;компрессор;провайдер;Компрессорная установка топливного газа с электроприводом TOROMONT;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-640725-2026
СО-243;СО243;СО-243 | СО243;К-Ц;да;22;1;ресивер;регулярка;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № СНГ-2846/22/173922/03089Д/1423-2024 ЭПБ на техническое устройство, применяемое на опасном производственном объекте: Ресивер СО-243, зав. №00877, рег. ;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-10562-2025
PCL 802/24;PCL802/24;PCL 802/24 | PCL-802/24;Л Ц/Ц;да;22;1;воздуходувка;регулярка;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ №ДП-2025-007.2161 на техническое устройство «ГТУ тип ГТК 10ИР с центробежным нагнетателем PCL 802/24», зав. №244637, инв. №126075, применяемое на опасно;https://monitor-pb.ru/conclusion/78-%D0%A2%D0%A3-15185-2025
SM6000;SM6000;SM6000;ЛЦ;да;22;1;компрессор;регулярка;на техническое устройство турбокомпрессор SM6000 поз.№К-10, инв.№25231;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-08764-2014
Р 500/10;Р500/10;Р 500/10 | Р500/10;К Ц/Ц;да;21;1;ресивер;регулярка;Ресивер Р 500/10, зав.№ 33, рег.№ 334;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-969560-2026
АФК 1;АФК1;АФК 1;К Ц;да;21;1;узел: воздуходувка;регулярка;"Арматура нагнетательная АФК 1 65х210 ХЛ, зав. №1268; местонахождение: скв. № 1627, куст №536, Возейское м-е, КЦДНГ-4";https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-00730-2022
GMа 12.5 HV;GMА12.5HV;GMа 12.5 HV;ЛК Ц.Ц Л;нет;21;1;воздуходувка;провайдер+регулярка;Заключение №0292/18-2024 экспертизы промышленной безопасности на техническое устройство: Бустер механический (вакуумная-ротационная газодувка марки GMа 12.5 HV (зав. №61-206508/02 (871211), техн. №В-5;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-39621-2025
"7""х11 1/2"" RBS";"7""Х111/2""RBS";"7""х11 1/2"" RBS";"Ц""КЦ Ц/Ц"" Л";нет;21;1;воздуходувка;провайдер;"Воздуходувка марки 7&quot;х11 1/2&quot; RBS, техн. № 150В-2/2, зав. № 9874, инвентарный № 7605 (Площадка ПАО &quot;Уфаоргсинтез&quot;, Производство полиэтилена, объект 500-504, отделение 503)";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-28669-2022
В-6,3-2-УХЛ1;В6.32УХЛ1;В 6,3-2-УХЛ1 | В-6,3-2 УХЛ1 | В-6,3-2-УХЛ 1 | В-6,3-2-УХЛ1 | В-6.3-2-УХЛ1 | В6,3-2-УХЛ1;К-Ц,Ц-Ц-КЦ;нет;21;1;ресивер;провайдер;техническое устройство «Воздухосборник В-6,3-2-УХЛ1 зав. №2505, рег. №49-21-4-15536», применяемое на опасном производственном объекте «Площадка воздухосборников Оренбургской дистанции сигнализации, це;https://monitor-pb.ru/conclusion/74-%D0%A2%D0%A3-931692-2026
ВА160М2У2,5;ВА160М2У2.5;ВА160М2У2,5;КЦКЦКЦ,Ц;нет;21;1;не машина;провайдер;"Электродвигатель взрывозащищенного исполнения тип ВА160М2У2,5 зав. № 110602806, техн. № ВОД-1; ДКС Ямсовейская, цех №1, ГПА-1, инв. № 003633 Площадка промысловой компрессорной станции Ямсовейского мес";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05408-2022
GRASSO;GRASSO;GRASSO;Л;да;20;1;узел: компрессор;провайдер+регулярка;Трубопровод подачи аммиака (NH3) от насоса к маслоохладителю компрессора GRASSO №8 ОАО «САН ИнБев»;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-06083-2014
GA 110;GA110;GA 110 | GA-110 | GA110;Л Ц;да;20;1;компрессор;регулярка;Компрессор ДЭН GA 110 (серийный номер APF173426, инв.№ 081001690042), применяемый на опасном производственном объекте - Рудник «Ирокинда» (рег. № ОПО: А64-01237-0002 от 26.11.2019);https://monitor-pb.ru/conclusion/64-%D0%A2%D0%A3-00705-2025
РДВ-5;РДВ5;РДВ-5;К-Ц;да;20;1;ресивер;провайдер+регулярка;ЗАКЛЮЧЕНИЕ № НЦ-1815/6-3-360-2024 экспертизы промышленной безопасности технического устройства, ресивера дренажного вертикального РДВ-5 рег. №360«сх», зав.№65130, применяемого на опасном производствен;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-18952-2024
ОВА-0360 ТС;ОВА0360ТС;ОВА-0360 ТС | ОВА-0360ТС;К-Ц К;да;20;1;осушитель;регулярка;Осушитель адсорбционный ОВА-0360 ТС, зав.№ 295;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-88290-2025
750-23-6;750236;750-23-6;Ц-Ц-Ц;да;20;1;воздуходувка;провайдер+регулярка;"Центробежный нагнетатель марки 750-23-6, поз.1, техн. № 1, зав. № 1, АО ""Башкирская содовая компания"" цех №31 ОПО «Шламонакопитель площадка №1» (рег.№ А41-00092-0006; IV класс опасности)";https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-731042-2026
VHRGX 0235-6;VHRGX02356;VHRGX 0235-6;Л Ц-Ц;да;20;1;воздуходувка;провайдер+регулярка;"Воздуходувка марки VHRGX 0235-6, техн. № СI 5/18.5, зав. № 558986, инвентарный № 4337 (Площадка ПАО ""Уфаоргсинтез"", Производство полиэтилена, объект 202-205, отделение полимеризации (корп. 204А))";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-73864-2022
УОВ-100;УОВ100;УОВ-100;К-Ц;да;19;1;не машина;провайдер+регулярка;промышленной безопасности № 0702-ЗЭ-2024 Техническое устройство: Фильтр воздушный УОВ-100 № 1, рег. № С-064, зав. № 17-27, инв. №30800017170 Эксплуатирующая организация: Заполярный филиал ПАО «ГМК «Но;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-16609-2024
ГДС-850;ГДС850;ГДС-850;К-Ц;да;19;1;компрессор;провайдер+регулярка;"""Вентиляционная установка, техн. № поз. П-2, место установки: газовая компрессорная установки ГДС-850""";https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-02876-2016
ЗТВ-150-1,12;ЗТВ1501.12;ЗТВ-150-1,12;К-Ц-Ц,Ц;да;19;1;компрессор;регулярка;"ЗАКЛЮЧЕНИЕ №2025-НКТУ-097-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: ""Турбокомпрессор воздушный ЗТВ-150-1,12, зав. № 76, техн. № 64/2 (4 тех. поток), применяемое на опасном про";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-92193-2025
В-8,0;В8.0;В-8,0;К-Ц,Ц;да;19;1;ресивер;провайдер;техническое устройство - сосуд, работающий под давлением воздухосборник В-8,0 зав 23176, рег. № рег. №43454;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-09230-2025
MYCOM-95;MYCOM95;MYCOM-95;Л-Ц;да;18;1;компрессор;регулярка;Экспертиза промышленной безопасности технического устройства, применяемого на опасном производственном объекте Аммиачный компрессор MYCOM-95, зав. № А1053, поз. 2А;https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-750010-2026
MYCOM-130;MYCOM130;MYCOM-130;Л-Ц;да;18;1;компрессор;регулярка;Экспертиза промышленной безопасности технического устройства, применяемого на опасном производственном объекте Аммиачный компрессор MYCOM-130, зав. № В1016, поз. 2В;https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-750049-2026
4HR3KN-200/210-5-249 WL;4HR3KN200/2105249WL;4HR 3KN-200/210-5-249 WL | 4HR-3KN-200/210-5-249 WL | 4HR3KN-200/210-5-249 WL;ЦЛЦЛ-Ц/Ц-Ц-Ц Л;нет;18;1;компрессор;регулярка;Компрессор поршневой 4HR3KN-200/210-5-249 WLK, зав. № 51763, техн. № КУ-2 (в составе компрессорной установки 4HR3KN-200/210-5-249 WLK);https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-507277-2025
4HR3KN-200-210-5-249 WL;4HR3KN2002105249WL;4HR3KN-200-210-5-249 WL;ЦЛЦЛ-Ц-Ц-Ц-Ц Л;нет;18;1;компрессор;регулярка;техническое устройство, применяемое на опасном производственном объекте Техническое устройство: Компрессор поршневой 4HR3KN-200-210-5-249 WLK Заводской №: 51793 Опасный производственный объект (ОПО): ;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-39490-2024
К-0,5;К0.5;К-0,5;К-Ц,Ц;да;18;1;не машина;провайдер+регулярка;Адсорбер А-22 (сосуд, работающий под давлением) воздухоразделительной установки К-0,5, установленной на участке № 25 цеха № 14 АО «Тяжмаш» (г. Сызрань, Самарская обл., ул. Гидротурбинная, д. 13);https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-02762-2016
Кт-36;КТ36;КТ-36 | Кт-36;К-Ц;да;17;1;ВРУ;провайдер+регулярка;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0144-ЗЭ-2025 Техническое устройство: Воздухоразделительная установка Кт-36 зав. № 1 (блок разделения воздуха № 4), инв. № 30800023862 Эксплуатирующая ;https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-321307-2025
ZL-2,5;ZL2.5;ZL-2,5;Л-Ц,Ц;да;16;1;ресивер;провайдер+регулярка;Сосуд (циркуляционный ресивер ZL-2,5) порядковый № 0894, регистрационный № 66750, эксплуатируемый АО Хладокомбинат «Заречный»;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-00343-2022
ЦДНГ-10;ЦДНГ10;ЦДНГ-10;К-Ц;да;16;1;воздуходувка;регулярка;Нагнетательная арматура, ЦДНГ-10, куст 22, всего 1 шт.: АНК 65х21 скв. № 3153, зав. № 1743;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-48636-2020
АГНКС-2;АГНКС2;АГНКС-2;К-Ц;да;16;1;узел: компрессорная станция;регулярка;технические устройства - Влагоотделители №3, 4 КУ-4, ОПО Автомобильная газонаполнительная компрессорная станция АГНКС-2 г. Нижний Новгород, рег. № А19-09686-0235, III класс опасности;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-02739-2022
2HB 2K 160/100 S1;2HB2K160/100S1;2HB 2K 160/100 S1 | 2HB2K160/100S1;ЦЛ ЦЛ Ц/Ц ЛЦ;нет;16;1;компрессор;провайдер+регулярка;компрессор зав. №2/1527/941/11, поз. № КУ-2 (в составе компрессорной установки типа 2HB 2K 160/100 S1), эксплуатируемый на АГНКС-1 г. Острогожск филиала ООО «Газпром газомоторное топливо» в г. Москва;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-22504-2019
В2g-25/6.3z;В2G25/6.3Z;В2g 25/6.3Z | В2g-25/6.3z;КЦЛ-Ц/Ц.ЦЛ;нет;16;1;компрессор;провайдер+регулярка;Компрессор типа В2g-25/6.3z., поз. ВI, зав.№5428 Производство полиэтилена, объект 202-205;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-12922-2015
КИП 1;КИП1;КИП 1;К Ц;да;16;1;генератор кислорода;регулярка;Техническое устройство: Воздухоподогреватель 661ВП-01-04, зав.No 214-12, рег.No 92741, инв.No 104330 Общество с ограниченной ответственностью «Газпром переработка» АГПЗ, Установка КВКИП No1 «Площадка ;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-697459-2026
АНК 1;АНК1;АНК 1 | АНК-1;К Ц;да;16;1;узел: воздуходувка;регулярка;Заключение №3768-ФА-06/23. Арматура нагнетательная АНК 1 65×350, зав.№9378, установленная на скв.№579, Возейского нефтяного месторождения, КЦДНГ-4;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-88288-2023
К354-101-1;К3541011;К-354-101-1 | К354-101-1;КЦ-Ц-Ц;да;15;1;компрессор;регулярка;''Центробежный компрессор К354-101-1'' зав. № 9188 эксплуатируемый ТПП «Повхнефтегаз» ООО «ЛУКОЙЛ - Западная Сибирь»;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-886369-2026
ТКР-А;ТКРА;ТКР-А;К-К;да;15;1;компрессор;провайдер+регулярка;"Центробежный компрессор марки ТКР-А, техн. № 205/1, зав. № 805185, инв. №4275 (Площадка ПАО ""Уфаоргсинтез"", Производство синтетического этилового спирта, объект 1/2, отделение 2/2)";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-76153-2022
PCL-802/24;PCL802/24;PCL 802/24 | PCL-802/24;Л-Ц/Ц;да;15;1;компрессорная станция;провайдер+регулярка;центробежный нагнетатель PCL-802/24, зав. № 9792 инв.№126398, применяемый на ОПО «Площадка компрессорной станции Приводинского ЛПУМГ», рег. № А25-00261-0630;https://monitor-pb.ru/conclusion/27-%D0%A2%D0%A3-03823-2021
КМ-2;КМ2;КМ-2 | КМ2;К-Ц;да;15;1;компрессор;регулярка;Техническое устройство: Сепаратор очищенного газа 1 ступени компрессора КМ-2 тех. поз. В26В, заводской № 441607, регистрационный номер № 25755, ОПО Площадка производства №5 Астраханского ГПЗ, Класс ОП;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-889814-2026
6ГМ25-120/14-38;6ГМ25120/1438;6ГМ25-120/14-38;ЦКЦ-Ц/Ц-Ц;да;15;1;компрессор;регулярка;Заключение № ДП-2025-076.2026 экспертизы промышленной безопасности на технические устройства – «Буферная ёмкость всасывания компрессора 6ГМ25-120/14-38», техн. №482ГПА-11, зав. №10/2 зак.9095, уч№49-3;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-817188-2026
