email;инн;название;оквэд;сегмент;источник;регион;итоговый балл приоритета;макс. балл по связке;приоритет × выручка / 10000
efimov@himprom.com;2124009521;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";20.13 Производство прочих основных неорганических химических веществ;новостные;news-campaign-2026-07-24;Чувашская Республика - Чувашия;57;5;76950000.0
metall@kscgroup.ru;6952314788;"ООО ""КСК МК""";25.62 Обработка металлических изделий механическая;новостные;news-campaign-2026-07-24;Тверская область;44;5;81840000.0
info@sovelmash.ru;7735163614;"ООО ""СОВЭЛМАШ""";72.19 Научные исследования и разработки в области естественных и технических наук прочие;новостные;news-campaign-2026-07-24;Москва;4;2;960.0
info@tansau.group;2222909464;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАНСАУ""";10.89 Производство прочих пищевых продуктов, не включенных в другие группировки;новостные;news-campaign-2026-07-24;Москва;15;5;655.5
info@robotech.digital;5905062274;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОБОТЕХ""";72.19 Научные исследования и разработки в области естественных и технических наук прочие;новостные;news-campaign-2026-07-24;Пермский край;20;5;1636400.0
info@broxboiler.ru;3705011046;"ООО ""БРОКС""";25.30.1 Производство паровых котлов и их частей;новостные;news-campaign-2026-07-24;Ивановская область;53;5;0.0
glavinj@kremnemag.ru;5605023193;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЕМНЕ-МАГНИЕВЫЙ ЗАВОД""";20.13 Производство прочих основных неорганических химических веществ;новостные;news-campaign-2026-07-24;Оренбургская область;25;5;0.0
info@mpkmk.com;4011015912;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЛОЯРОСЛАВЕЦКАЯ П";25.11 Производство строительных металлических конструкций, изделий и их частей;новостные;news-campaign-2026-07-24;Калужская область;5;3;213350.0
Yminova.EV@szmk-nk.com;4220040912;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРСКИЙ ЗАВОД МЕ";25.11 Производство строительных металлических конструкций, изделий и их частей;новостные;news-campaign-2026-07-24;Кемеровская область - Кузбасс;20;5;5200000.0
snab@altai-tent.ru;2225078730;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛТАЙ-ТЕНТ""";25.11 Производство строительных металлических конструкций, изделий и их частей;новостные;news-campaign-2026-07-24;Алтайский край;39;5;3462420.0
zakmol@beldolina.com;6449071706;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛАЯ ДОЛИНА""";10.51 Производство молока (кроме сырого) и молочной продукции;новостные;news-campaign-2026-07-24;Саратовская область;8;5;0.0
info@gazdv.ru;2722010548;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ДАЛЬНИЙ ВОСТ";35.22 Распределение газообразного топлива по газораспределительным сетям;новостные;news-campaign-2026-07-24;Хабаровский край;40;5;39600000.0
info@itl-light.ru;6674369395;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГО-АРСЕНАЛ""";25.11 Производство строительных металлических конструкций, изделий и их частей;новостные;news-campaign-2026-07-24;Свердловская область;72;5;10800000.0
9563295@gmail.com;7814592447;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАЗЕРМЕТ""";25.62 Обработка металлических изделий механическая;новостные;news-campaign-2026-07-24;Санкт-Петербург;46;5;265880.0
info@am-tek.ru;6317155043;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМТЕК""";10.61 Производство продуктов мукомольной и крупяной промышленности;новостные;news-campaign-2026-07-24;Самарская область;14;4;121100.0
asilakov@vertera.global;6950002832;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНОЕ ПРОИЗВОДСТВ;10.20 Переработка и консервирование рыбы, ракообразных и моллюсков;новостные;news-campaign-2026-07-24;Тверская область;64;5;2704000.0
info@lalibelacoffee.com;7722831092;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАЛИБЕЛА КОФЕ""";10.83 Производство чая и кофе;новостные;news-campaign-2026-07-24;Смоленская область;20;5;6800000.0
partners@sodrugestvo.ru;5404476926;"ООО ГК ""СОДРУЖЕСТВО""";43.29;новостные;news-campaign-2026-07-24;;17;5;
TenishevU@avangard-agro.ru;3666128249;"ООО ""АВАНГАРД-АГРО-ВОРОНЕЖ""";01.11.1;новостные;news-campaign-2026-07-24;;4;4;
info@rosatom.ru;7706413348;"ГОСКОРПОРАЦИЯ ""РОСАТОМ""";84.11.11;новостные;news-campaign-2026-07-24;;8;4;
inform@geropharm.ru;7826043970;"ООО ""ГЕРОФАРМ""";12.5;новостные;news-campaign-2026-07-24;;8;4;
zayavkamkv@molvest.ru;3662104737;"АО ""МОЛВЕСТ""";46.33;новостные;news-campaign-2026-07-24;;;;
logistics@ooolsz.ru;4823073114;"ООО ""ЛИПЕЦКИЙ СИЛИКАТНЫЙ ЗАВОД""";23.61.1;новостные;news-campaign-2026-07-24;;12;5;
info@gkelement.ru;9703014282;"ПАО ""ЭЛЕМЕНТ""";69.10;новостные;news-campaign-2026-07-24;;2;2;
dzur@gazprom-neft.ru;5504036333;"ПАО ""ГАЗПРОМ НЕФТЬ""";19.20.1;новостные;news-campaign-2026-07-24;;18;5;
info@petrovax.ru;7702302492;"ООО ""НПО ПЕТРОВАКС ФАРМ""";21.20.1;новостные;news-campaign-2026-07-24;;9;4;
sd@pharmasyntez.com;3810023308;"АО ""ФАРМАСИНТЕЗ""";21.20.1;новостные;news-campaign-2026-07-24;;4;4;
info@agroeco.ru;3662149375;"ООО ""АПК АГРОЭКО""";01.46.11;новостные;news-campaign-2026-07-24;;4;4;
info@enhim.com;7100037800;"ООО ""ЭНХИМ""";20.14;новостные;news-campaign-2026-07-24;;6;4;
purchasing@aurus-auto.ru;7727426732;"ООО ""АУРУС""";52.29;новостные;news-campaign-2026-07-24;;4;4;
ved@betaren.ru;5050029646;"АО ""ЩЕЛКОВО АГРОХИМ""";20.20;новостные;news-campaign-2026-07-24;;16;4;
progress@af-progress.ru;2314005324;"ООО "" АГРОФИРМА ""ПРОГРЕСС""";01.46.11;новостные;news-campaign-2026-07-24;;8;4;
fleet@sollers-auto.com;7327077188;"ООО ""УАЗ""";29.10.4;новостные;news-campaign-2026-07-24;;45;5;
info@chechencement.com;2012006949;"АО ""ЧЕЧЕНЦЕМЕНТ""";23.51;новостные;news-campaign-2026-07-24;;4;4;
infommk@mmk.ru;7414003633;"ПАО ""ММК""";24.10.3;новостные;news-campaign-2026-07-24;;65;5;
callcentre@kamaz.org;1650032058;"ПАО ""КАМАЗ""";29.10.4;новостные;news-campaign-2026-07-24;;15;4;
info@eurochem.ru;7721230290;"АО ""МХК ""ЕВРОХИМ""";46.75.1;новостные;news-campaign-2026-07-24;;22;4;
info@sollers-auto.com;3528079131;"ПАО ""СОЛЛЕРС""";70.10;новостные;news-campaign-2026-07-24;;2;2;
alferova_aa@sima-land.ru;6679104850;"ООО ТД ""СИМА-ЛЕНД""";46.47;новостные;news-campaign-2026-07-24;;4;4;
info@cybersteel.com;6684036797;"ООО ""КИБЕРСТАЛЬ""";24.20.1;новостные;news-campaign-2026-07-24;;15;5;
alt@melkom.ru;6725033780;"ООО ""АГРИТЕК""";10.41.26;новостные;news-campaign-2026-07-24;;17;4;
sales@gk-dsk.ru;2466000401;"АО ""ДСК""";41.20;новостные;news-campaign-2026-07-24;;12;4;
ozon@oooozon.ru;5609026406;"ООО ""ОЗОН""";85.41.91;новостные;news-campaign-2026-07-24;;13;5;
zakaz@severstal.com;3528000597;"ПАО ""СЕВЕРСТАЛЬ""";24.10.3;новостные;news-campaign-2026-07-24;;52;5;
priem-apik@efko.ru;3122000300;"АО ""ЭФКО""";10.41.54;новостные;news-campaign-2026-07-24;;6;3;
info@sibur.ru;7727547261;"ПАО ""СИБУР ХОЛДИНГ""";19.20.2;новостные;news-campaign-2026-07-24;;38;5;
6122002775@oper-rostov.ru;6122002775;"ОАО ""МОЛЗАВОД МЯСНИКОВСКИЙ""";10.51.1;новостные;news-campaign-2026-07-24;;;;
zakaz@shop-motorika.ru;7604332354;"ООО ""МОТОРИКА""";45.31;новостные;news-campaign-2026-07-24;;8;5;
aocentrural@mail.ru;7705721371;"ООО ""ЧЕРНОГОРСКАЯ ГРК""";07.29 Добыча руд прочих цветных металлов;новостные;news-campaign-2026-07-24;Москва;37;5;0.0
hr@molcom.ru;3316008403;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОЛКОМ""";10.51 Производство молока (кроме сырого) и молочной продукции;новостные;news-campaign-2026-07-24;Владимирская область;22;5;0.0
