marka;klyuch;napisaniya;forma;forma_hodovaya;vstrech;innov;tip;chem_dobyta;primer;ssylka
В-10;В10;В 10 | В-10 | В10 | в-10;К-Ц;да;599;42;ресивер;провайдер+регулярка;На техническое устройство: Воздухосборник В-10, зав. № 245, рег. № 10352 НЮ, тех. ВР-1 применяемый на опасном производственном объекте «Пункт подготовки и сбора нефти №8 Приобского месторождения» рег.;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-32357-2023
В-6,3;В6.3;В - 6,3 | В 6,3 | В-6,3 | В-6.3;К-Ц,Ц;да;1053;33;ресивер;провайдер+регулярка;«База хранения (кустовая) (ГНС г. Нижнекамск)» (рег. №А43-00777-003, III класс опасности) – воздухосборник В-6,3 зав. № 3212, эксплуатируемое ООО «Газпром сжиженный газ»;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-06754-2021
В-3,2;В3.2;В - 3,2 | В 3,2 | В- 3,2 | В-3,2 | В-3.2 | В3,2 | В3.2;К-Ц,Ц;да;207;25;ресивер;провайдер+регулярка;"Заключение экспертизы промышленной безопасности №26-1187 на воздухосборник В-3,2 зав.№ 139 рег.№ 9502 эксплуатируемый на ОПО ""Площадка воздухосборников УКРСиПНП"", регистрационный номер ОПО А58-70020-1";https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-878766-2026
В-2;В2;В-2;К-Ц;да;116;23;ресивер;провайдер+регулярка;воздухосборник В-2 зав. № 31588, рег. № 31481;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-06324-2014
305ВП-16/70;305ВП16/70;305ВП 16/70 | 305ВП-16/70 | 305ВП16/70;ЦК-Ц/Ц;да;72;21;компрессор;провайдер+регулярка;на компрессор 305ВП-16/70 поз. УК-2, зав. № 04001.;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-63748-2023
В-4;В4;В- 4 | В-4;К-Ц;да;107;20;ресивер;провайдер+регулярка;Воздухосборник В-4 зав.№490 рег.№9494 эксплуатируемый в НГДУ «Быстринскнефть» ПАО «Сургутнефтегаз»;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-860623-2026
К-250-61-5;К250615;К 250-61-5 | К-250-61-5 | К250-61-5;К-Ц-Ц-Ц;да;71;19;компрессор;регулярка;Заключение экспертизы промышленной безопасности № ЭПБ-06-00449-0006-2025 на техническое устройство компрессор центробежный К-250-61-5, поз. В-1/3, зав. №1420, установки производства битума, комплекса ;https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-80096-2025
4ВУ1-5/9;4ВУ15/9;4ВУ-1-5/9 | 4ВУ1-5/9;ЦКЦ-Ц/Ц;да;63;19;компрессор;провайдер+регулярка;«База хранения (кустовая) (ГНС г. Нижнекамск)» (рег. №А43-00777-0003, III класса опасности) - компрессор 4ВУ1-5/9, зав.№068815131, инв.№0893 эксплуатируемое ООО «Газпром сжиженный газ»;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-06761-2021
ЦК-135/8;ЦК135/8;ЦК 135/8 | ЦК-135/8 | ЦК135/8;К-Ц/Ц;да;77;18;компрессор;провайдер+регулярка;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0026-ЗЭ-2024 Техническое устройство: Компрессор центробежный ЦК-135/8, тех. № 4/43М, зав. №87019, инв. №30800024013 Эксплуатирующая организация: Запол;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-11082-2024
ДЭН-45ШМ;ДЭН45ШМ;ДЭН-45 ШМ | ДЭН-45ШМ;К-ЦК;да;104;17;компрессор;провайдер+регулярка;Техническое устройство– компрессор ДЭН-45ШМ зав. № 5236, применяемый на опасном производственном объекте «Участок комплексной подготовки газа № 3 Правдинского месторождения» рег. № А58-70075-0053, Зак;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-42477-2025
К-500-61-1;К500611;К-500-61-1 | К500-61-1;К-Ц-Ц-Ц;да;94;16;компрессор;регулярка;Компрессор К-500-61-1 поз. 21;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-814324-2026
К-0,15;К0.15;К-0,15;К-Ц,Ц;да;83;16;ВРУ;провайдер+регулярка;техническое устройство - блок очистки установки воздухоразделительной К-0,15, применяемое на опасном производственном объекте «Площадка производства и наполнения кислородом» (рег. № А63-01565-0004, II;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-25356-2024
П-110;П110;П 110 | П-110 | П110;К-Ц;да;38;16;компрессор;регулярка;компрессор газовый П-110 зав. № 21831;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-04798-2016
4М10-40/70;4М1040/70;4М10-40/70;ЦКЦ-Ц/Ц;да;91;15;компрессор;провайдер+регулярка;Поршневой компрессор марки 4М10-40/70, тех. поз. ВК-1/1, зав. № 294 установка получения азота методом разделения воздуха (АК-1,5);https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-06898-2014
5РВ;5РВ;5 РВ | 5-РВ | 5РВ;ЦК;да;84;15;ресивер;провайдер+регулярка;Линейный ресивер 5РВ, зав. № 8302, рег. № 1075 «СХ», поз. 1;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-18802-2023
7ВКГ-50/7;7ВКГ50/7;7 ВКГ 50/7 | 7ВКГ 50/7 | 7ВКГ-50/7 | 7ВКГ50/7;ЦК-Ц/Ц;да;136;14;компрессор;провайдер+регулярка;Винтовой компрессор 7ВКГ-50/7 зав. № 01006, применяемый на опасном производственном объекте «Участок комплексной подготовки газа № 3 Правдинского месторождения»;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-56415-2022
5РД;5РД;5 РД | 5-РД | 5РД;ЦК;да;60;13;ресивер;провайдер+регулярка;технические устройства: ресиверы 5РД, зав. №№ 24027, 24028, рег. №№ 26/233, 26/232, аммиачной холодильной установки, применяемые на опасном производственном объекте: «Площадка компрессорного участка о;https://monitor-pb.ru/conclusion/50-%D0%A2%D0%A3-03915-2025
5 РД;5РД;5 РД | 5-РД | 5РД;Ц К;да;82;12;ресивер;провайдер+регулярка;ресивер 5 РД зав. № 26971, рег. № 21522, техническое устройство, применяемое на ОПО «Аммиачно-холодильная установка» (рег. № А47-10162-0001 от 02.08.2001 г. – III класс),;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-24208-2020
