Запрос;Паттерн;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
Ironmac IC 10 10;model;model_not_found;0;site;20;Ищут IC 10/10, показаны IC 100 — другая модель;Винтовой компрессор Ironmac IC 100/10 B | Винтовой компрессор Ironmac IC 100/10 C | Винтовой компрессор Ironmac IC 100/10 C VSD
Atlas Copco GA 55;model;model_not_found;0;site;20;GA 55 не найден, показаны GA 110/132/200 и GA 30;Винтовой компрессор ATLAS COPCO GA 110 /5,5 | Винтовой компрессор ATLAS COPCO GA 132/5,5 | Винтовой компрессор ATLAS COPCO GA 200/5,5
Ironmac IC 10;model;model_not_found;0;site;20;Ищут IC 10, показаны IC 100 — другая модель;Винтовой компрессор Ironmac IC 100/10 B | Винтовой компрессор Ironmac IC 100/10 C | Винтовой компрессор Ironmac IC 100/10 C VSD
Ironmac IC 50;model;model_not_found;1;site;20;Показаны IC 100, а не IC 50;Винтовой компрессор Ironmac IC 100/10 B | Винтовой компрессор Ironmac IC 100/10 C | Винтовой компрессор Ironmac IC 100/10 C VSD
Atlas Copco GA 90;model;wrong_top;1;site;20;На 1 месте GA 90+, но дальше GA110;Винтовой компрессор ATLAS COPCO GA 90+ | Винтовой компрессор Atlas Copco GA90 VSD+13P/ | Винтовой компрессор Atlas Copco GA90 VSD+13FF
Atlas Copco GA 75;model;model_not_found;0;site;20;Нет GA 75, показаны модели с давлением 7.5 бар;Винтовой компрессор ATLAS COPCO GA 110 /7,5 | Винтовой компрессор Atlas Copco GA 11+ 7,5FF/ | Винтовой компрессор Atlas Copco GA 11+ 7,5P/4
Atlas Copco GA 7;model;model_not_found;0;site;20;Нет GA 7, показаны модели с давлением 7.5 бар;Винтовой компрессор Atlas Copco GA 11+ 7,5FF/ | Винтовой компрессор Atlas Copco GA 11+ 7,5P/4 | Винтовой компрессор Atlas Copco GA 15+ 7,5FF/
Atlas Copco XAHS 186;model;too_few;1;site;2;Найдено только 2 товара, во втором XAHS 347;Дизельный компрессор ATLAS COPCO XAHS 186 Dd | Дизельный компрессор ATLAS COPCO XAHS 347 Cd
et SD 185;model;model_not_found;1;site;20;Показаны ET SL 185 вместо SD 185;Винтовой компрессор ET SL 185 10 бар | Винтовой компрессор ET SL 185 10 бар, IP54 | Винтовой компрессор ET SL 185 13 бар
Ironmac IC 60;model;model_not_found;0;site;20;Показаны IC 100, а не IC 60;Винтовой компрессор Ironmac IC 100/10 B | Винтовой компрессор Ironmac IC 100/10 C | Винтовой компрессор Ironmac IC 100/10 C VSD
Atlas Copco U 175;model;too_few;1;site;20;Только 1 точное совпадение, остальное мусор;Дизельный компрессор ATLAS COPCO U 175 Kd (бе | Винтовой компрессор AIRBOX ADS 175-7 (на шасс | Винтовой компрессор AIRBOX ADS 175-7 (без шас
компрессор;category;wrong_top;1;site;20;Показаны устаревшие индустриальные модели вместо популярных;Компрессор 1А 21-30-2А | Компрессор 1А 21-30-4А | Компрессор 1А 21-50-2А
Ironmac IC;brand;wrong_top;1;site;20;Показаны только IC 100, не весь модельный ряд;Винтовой компрессор Ironmac IC 100/10 B | Винтовой компрессор Ironmac IC 100/10 C | Винтовой компрессор Ironmac IC 100/10 C VSD
BERG ОВ 75;model;wrong_top;1;site;6;Показывает OB-7.5 вместо OB-75, это разные модели;Рефрижераторный осушитель воздуха BERG OB-7.5 | Рефрижераторный осушитель воздуха BERG OB-7.5 | Рефрижераторный осушитель воздуха BERG OB-75 
